Gene ID,Chromosome,Gene Name,Description
NPIL_199241,BMAW01030190.1,AACS,acetoacetyl-CoA synthetase
NPIL_199251,BMAW01030190.1,Unknown,hypothetical protein
NPIL_199261,BMAW01030190.1,Unknown,hypothetical protein
NPIL_199271,BMAW01030190.1,Unknown,hypothetical protein
NPIL_199281,BMAW01030190.1,Unknown,hypothetical protein
NPIL_199291,BMAW01030190.1,Unknown,hypothetical protein
NPIL_199301,BMAW01030190.1,Unknown,hypothetical protein
NPIL_19931,BMAW01071313.1,AVEN_202147_1,c2H2-type domain-containing protein
NPIL_199311,BMAW01030190.1,NCL1_46182,BESS domain-containing protein
NPIL_199321,BMAW01030190.1,usp10,ubiquitin carboxyl-terminal hydrolase 10
NPIL_199331,BMAW01030190.1,AVEN_117781_1,uncharacterized protein
NPIL_199341,BMAW01030190.1,PDCD6,programmed cell death protein 6
NPIL_199351,BMAW01030190.1,Unknown,hypothetical protein
NPIL_199361,BMAW01030190.1,Pdcd6,programmed cell death protein 6
NPIL_199371,BMAW01030190.1,Gpi,glucose-6-phosphate isomerase
NPIL_199381,BMAW01030190.1,Unknown,hypothetical protein
NPIL_199391,BMAW01030190.1,SPG7,paraplegin
NPIL_199401,BMAW01030190.1,v1g180167,coiled-coil domain-containing protein 22 homolog
NPIL_19941,BMAW01071313.1,Unknown,hypothetical protein
NPIL_199411,BMAW01030190.1,AAEL000331,"elongation factor Ts, mitochondrial"
NPIL_199421,BMAW01030190.1,sgl,UDP-glucose 6-dehydrogenase
NPIL_199431,BMAW01030190.1,ZK795.3,brix domain-containing protein ZK795.3
NPIL_199441,BMAW01030190.1,HNRNP,hypothetical protein
NPIL_199451,BMAW01030190.1,NCL1_14891,uncharacterized protein
NPIL_199461,BMAW01030190.1,rnmt,mRNA cap guanine-N7 methyltransferase
NPIL_199471,BMAW01051976.1,Unknown,hypothetical protein
NPIL_199481,BMAW01051976.1,Unknown,hypothetical protein
NPIL_199491,BMAW01051976.1,AVEN_34711_1,uncharacterized protein
NPIL_199501,BMAW01051976.1,Unknown,hypothetical protein
NPIL_19951,BMAW01071313.1,Unknown,hypothetical protein
NPIL_199511,BMAW01051976.1,G5I_09420,FLJ37770-like protein
NPIL_199521,BMAW01029307.1,Unknown,reverse transcriptase domain-containing protein
NPIL_199531,BMAW01065404.1,Unknown,hypothetical protein
NPIL_199541,BMAW01110533.1,AVEN_162839_1,uncharacterized protein
NPIL_199551,BMAW01025480.1,Unknown,hypothetical protein
NPIL_199561,BMAW01025480.1,AVEN_96605_1,integrase catalytic domain-containing protein
NPIL_199571,BMAW01025480.1,Unknown,hypothetical protein
NPIL_199581,BMAW01100842.1,AVEN_4421_1,uncharacterized protein
NPIL_199591,BMAW01025881.1,AVEN_230738_1,integrase_H2C2 domain-containing protein
NPIL_199601,BMAW01002186.1,Unknown,hypothetical protein
NPIL_19961,BMAW01071313.1,Unknown,hypothetical protein
NPIL_199611,BMAW01109110.1,Unknown,RNase H domain-containing protein
NPIL_199621,BMAW01012816.1,Unknown,hypothetical protein
NPIL_199631,BMAW01012816.1,Unknown,hypothetical protein
NPIL_199641,BMAW01012816.1,Unknown,hypothetical protein
NPIL_199651,BMAW01012816.1,Unknown,hypothetical protein
NPIL_199661,BMAW01012816.1,Unknown,hypothetical protein
NPIL_199671,BMAW01012816.1,sp9,transcription factor Sp9
NPIL_199672,BMAW01012816.1,sp9,transcription factor Sp9
NPIL_199681,BMAW01012816.1,Unknown,hypothetical protein
NPIL_199691,BMAW01012816.1,Unknown,hypothetical protein
NPIL_199701,BMAW01012816.1,Unknown,hypothetical protein
NPIL_19971,BMAW01071313.1,Unknown,hypothetical protein
NPIL_199711,BMAW01012816.1,Unknown,hypothetical protein
NPIL_199721,BMAW01012816.1,Unknown,hypothetical protein
NPIL_199731,BMAW01012816.1,Unknown,hypothetical protein
NPIL_199741,BMAW01012816.1,Unknown,hypothetical protein
NPIL_199751,BMAW01012816.1,Cyp18a1,cytochrome P450 18a1
NPIL_199761,BMAW01012816.1,Cyp18a1,cytochrome P450 18a1
NPIL_199771,BMAW01012816.1,Cyp18a1,cytochrome P450 18a1
NPIL_199781,BMAW01085102.1,Unknown,hypothetical protein
NPIL_199791,BMAW01052812.1,Unknown,hypothetical protein
NPIL_199801,BMAW01063121.1,Unknown,hypothetical protein
NPIL_19981,BMAW01071313.1,NCL1_35364,uncharacterized protein
NPIL_199811,BMAW01061981.1,RyR,ryanodine receptor
NPIL_199821,BMAW01050205.1,Unknown,hypothetical protein
NPIL_199831,BMAW01006110.1,Unknown,hypothetical protein
NPIL_199841,BMAW01033230.1,Unknown,hypothetical protein
NPIL_199851,BMAW01130189.1,Unknown,hypothetical protein
NPIL_199861,BMAW01103507.1,AVEN_23970_1,uncharacterized protein
NPIL_199871,BMAW01054011.1,FMRFaR,FMRFamide receptor
NPIL_199881,BMAW01129568.1,Unknown,hypothetical protein
NPIL_199891,BMAW01097829.1,X975_08756,piggyBac transposable element-derived protein 4
NPIL_199901,BMAW01097829.1,Unknown,hypothetical protein
NPIL_19991,BMAW01071313.1,Unknown,hypothetical protein
NPIL_199911,BMAW01097829.1,NCL1_26884,zinc finger protein
NPIL_199921,BMAW01097829.1,ZNF227_103,zinc finger protein 227
NPIL_199931,BMAW01097829.1,Unknown,hypothetical protein
NPIL_199941,BMAW01097829.1,Unknown,integrase catalytic domain-containing protein
NPIL_199951,BMAW01097829.1,Tf2-6_427,transposon Tf2-6 polyprotein
NPIL_199961,BMAW01097829.1,Unknown,hypothetical protein
NPIL_199971,BMAW01097829.1,AVEN_243687_1,SCAN box domain-containing protein
NPIL_199981,BMAW01097829.1,X975_08756,piggyBac transposable element-derived protein 4
NPIL_199991,BMAW01097829.1,Unknown,hypothetical protein
NPIL_200001,BMAW01097829.1,Unknown,hypothetical protein
NPIL_20001,BMAW01071313.1,Unknown,hypothetical protein
NPIL_200011,BMAW01097829.1,Unknown,hypothetical protein
NPIL_200021,BMAW01097829.1,Unknown,hypothetical protein
NPIL_200022,BMAW01097829.1,Unknown,hypothetical protein
NPIL_200031,BMAW01097829.1,Unknown,hypothetical protein
NPIL_200041,BMAW01097829.1,Tns3,tensin-3
NPIL_200051,BMAW01097829.1,AVEN_162836_1,uncharacterized protein
NPIL_200061,BMAW01097829.1,RAB5C,ras-related protein Rab-5C
NPIL_200071,BMAW01021064.1,Unknown,hypothetical protein
NPIL_200081,BMAW01115990.1,Unknown,hypothetical protein
NPIL_200091,BMAW01130809.1,AVEN_222096_1,uncharacterized protein
NPIL_2001,BMAW01069171.1,Unknown,hypothetical protein
NPIL_200101,BMAW01126823.1,Unknown,hypothetical protein
NPIL_20011,BMAW01071313.1,Unknown,hypothetical protein
NPIL_200111,BMAW01122809.1,Zc3h14,hypothetical protein
NPIL_200121,BMAW01122536.1,Unknown,hypothetical protein
NPIL_200131,BMAW01067119.1,Unknown,hypothetical protein
NPIL_200141,BMAW01037100.1,Unknown,hypothetical protein
NPIL_200151,BMAW01005514.1,AVEN_30861_1,uncharacterized protein
NPIL_200161,BMAW01079675.1,Adcy2,adenylate cyclase type 2
NPIL_200162,BMAW01079675.1,Adcy2,adenylate cyclase type 2
NPIL_200171,BMAW01079675.1,MRPL21,"39S ribosomal protein L21, mitochondrial"
NPIL_200181,BMAW01079675.1,Unknown,hypothetical protein
NPIL_200191,BMAW01079675.1,Unknown,hypothetical protein
NPIL_200201,BMAW01079675.1,AVEN_201122_1,uncharacterized protein
NPIL_20021,BMAW01071313.1,Unknown,hypothetical protein
NPIL_200211,BMAW01079675.1,NUDCD1,nudC domain-containing protein 1
NPIL_200221,BMAW01079675.1,jockeypol_321,RNA-directed DNA polymerase from mobile element jockey
NPIL_200231,BMAW01079675.1,Unknown,hypothetical protein
NPIL_200241,BMAW01079675.1,Unknown,mariner transposase
NPIL_200251,BMAW01079675.1,Prpf4b,hypothetical protein
NPIL_200261,BMAW01079675.1,Unknown,hypothetical protein
NPIL_200271,BMAW01079675.1,X975_01402,uncharacterized protein
NPIL_200281,BMAW01079675.1,AVEN_218542_1,integrase catalytic domain-containing protein
NPIL_200291,BMAW01042792.1,Unknown,hypothetical protein
NPIL_200301,BMAW01042792.1,Unknown,hypothetical protein
NPIL_20031,BMAW01071313.1,DNASE1,deoxyribonuclease-1
NPIL_200311,BMAW01120373.1,Unknown,hypothetical protein
NPIL_200321,BMAW01004480.1,Unknown,hypothetical protein
NPIL_200331,BMAW01127445.1,AVEN_66472_1,integrase_H2C2 domain-containing protein
NPIL_200341,BMAW01127445.1,AVEN_234885_1,uncharacterized protein
NPIL_200351,BMAW01073934.1,TY3B-I_1242,transposon Ty3-I Gag-Pol polyprotein
NPIL_200361,BMAW01029478.1,Unknown,hypothetical protein
NPIL_200371,BMAW01016383.1,Unknown,hypothetical protein
NPIL_200381,BMAW01016383.1,Unknown,hypothetical protein
NPIL_200391,BMAW01076546.1,Unknown,hypothetical protein
NPIL_200401,BMAW01077425.1,Unknown,hypothetical protein
NPIL_20041,BMAW01071313.1,NEUROD1,neurogenic differentiation factor 1
NPIL_200411,BMAW01077425.1,Unknown,hypothetical protein
NPIL_200421,BMAW01077425.1,Nurf-38,inorganic pyrophosphatase
NPIL_200431,BMAW01077425.1,AVEN_103742_1,uncharacterized protein
NPIL_200441,BMAW01077425.1,cyhr1-b,cysteine and histidine-rich protein 1-B
NPIL_200451,BMAW01077425.1,spop_157,speckle-type POZ protein
NPIL_200461,BMAW01077425.1,spop-b_7,speckle-type POZ protein B
NPIL_200471,BMAW01077425.1,Unknown,hypothetical protein
NPIL_200481,BMAW01077425.1,Unknown,hypothetical protein
NPIL_200491,BMAW01077425.1,spop-b_7,speckle-type POZ protein B
NPIL_200501,BMAW01077425.1,PXDNL,peroxidasin-like protein
NPIL_20051,BMAW01071313.1,Unknown,hypothetical protein
NPIL_200511,BMAW01077425.1,Pxd,peroxidase
NPIL_200521,BMAW01021056.1,Unknown,hypothetical protein
NPIL_200531,BMAW01116422.1,Unknown,hypothetical protein
NPIL_200541,BMAW01116422.1,AVEN_26681_1,uncharacterized protein
NPIL_200551,BMAW01116422.1,Unknown,putative mariner transposase
NPIL_200561,BMAW01116422.1,Unknown,hypothetical protein
NPIL_200571,BMAW01116422.1,DPY19L1,probable C-mannosyltransferase DPY19L1
NPIL_200581,BMAW01116422.1,AVEN_5218_1,uncharacterized protein
NPIL_200591,BMAW01116422.1,PIGG,GPI ethanolamine phosphate transferase 2
NPIL_200601,BMAW01116422.1,AVEN_266977_1,uncharacterized protein
NPIL_20061,BMAW01071313.1,DNASE1,deoxyribonuclease-1
NPIL_200611,BMAW01116422.1,Tf2-6_445,transposon Tf2-6 polyprotein
NPIL_200621,BMAW01116422.1,dus3l,tRNA-dihydrouridine(47) synthase-like
NPIL_200631,BMAW01116422.1,RADX,RPA-related protein RADX
NPIL_200641,BMAW01116422.1,znf687a,zinc finger protein 687a
NPIL_200651,BMAW01116422.1,Unknown,hypothetical protein
NPIL_200661,BMAW01116422.1,Unknown,hypothetical protein
NPIL_200671,BMAW01116422.1,pol,retrovirus-related Pol polyprotein from transposon opus
NPIL_200681,BMAW01116422.1,AVEN_236479_1,uncharacterized protein
NPIL_200691,BMAW01116422.1,Unknown,hypothetical protein
NPIL_200701,BMAW01057835.1,ncs-1,neuronal calcium sensor 1
NPIL_20071,BMAW01071313.1,X975_02562,palmitoyltransferase
NPIL_200711,BMAW01057835.1,Unknown,hypothetical protein
NPIL_200721,BMAW01057835.1,Unknown,hypothetical protein
NPIL_200731,BMAW01057835.1,Unknown,hypothetical protein
NPIL_200741,BMAW01057835.1,Unknown,hypothetical protein
NPIL_200751,BMAW01057835.1,NHX8,hypothetical protein
NPIL_200752,BMAW01057835.1,NHX8,hypothetical protein
NPIL_200753,BMAW01057835.1,NHX8,hypothetical protein
NPIL_200761,BMAW01057835.1,PHLDB1,pleckstrin homology-like domain family B member 1
NPIL_200771,BMAW01057835.1,X975_00963,uncharacterized protein
NPIL_200781,BMAW01057835.1,NCL1_08205,uncharacterized protein
NPIL_200782,BMAW01057835.1,NCL1_08205,uncharacterized protein
NPIL_200791,BMAW01057835.1,Unknown,hypothetical protein
NPIL_200792,BMAW01057835.1,Unknown,hypothetical protein
NPIL_200801,BMAW01057835.1,CYRIB,CYFIP-related Rac1 interactor B
NPIL_20081,BMAW01071313.1,PPP2R1A,hypothetical protein
NPIL_200811,BMAW01057835.1,AVEN_117995_1,uncharacterized protein
NPIL_200821,BMAW01057835.1,AVEN_117996_1,uncharacterized protein
NPIL_200831,BMAW01057835.1,Unknown,hypothetical protein
NPIL_200841,BMAW01057835.1,Unknown,hypothetical protein
NPIL_200851,BMAW01057835.1,Unknown,hypothetical protein
NPIL_200861,BMAW01057835.1,Unknown,hypothetical protein
NPIL_200871,BMAW01057835.1,Unknown,hypothetical protein
NPIL_200881,BMAW01057835.1,Unknown,hypothetical protein
NPIL_200891,BMAW01057835.1,Unknown,hypothetical protein
NPIL_200901,BMAW01057835.1,Unknown,hypothetical protein
NPIL_20091,BMAW01071313.1,Unknown,hypothetical protein
NPIL_200911,BMAW01057835.1,AVEN_117246_1,uncharacterized protein
NPIL_200921,BMAW01057835.1,Unknown,hypothetical protein
NPIL_200931,BMAW01057835.1,Unknown,hypothetical protein
NPIL_200941,BMAW01057835.1,Unknown,hypothetical protein
NPIL_200951,BMAW01057835.1,Unknown,hypothetical protein
NPIL_200961,BMAW01057835.1,Unknown,hypothetical protein
NPIL_200971,BMAW01057835.1,Unknown,hypothetical protein
NPIL_200981,BMAW01057835.1,Unknown,hypothetical protein
NPIL_200991,BMAW01057835.1,TIGD1_16,tigger transposable element-derived protein 1
NPIL_201,BMAW01131165.1,AVEN_70816_1,RT_RNaseH_2 domain-containing protein
NPIL_201001,BMAW01057835.1,TY3B-G_2,transposon Ty3-G Gag-Pol polyprotein
NPIL_20101,BMAW01071313.1,AVEN_148616_1,uncharacterized protein
NPIL_201011,BMAW01057835.1,TIGD1_1,tigger transposable element-derived protein 1
NPIL_201021,BMAW01057835.1,Unknown,hypothetical protein
NPIL_201031,BMAW01057835.1,20200932,uncharacterized protein
NPIL_201041,BMAW01057835.1,CABLES1_0,CDK5 and ABL1 enzyme substrate 1
NPIL_201051,BMAW01057835.1,CABLES1,CDK5 and ABL1 enzyme substrate 1
NPIL_201061,BMAW01057835.1,RF55_19389,pol polyprotein
NPIL_201071,BMAW01057835.1,Unknown,hypothetical protein
NPIL_201081,BMAW01057835.1,pol_647,retrovirus-related Pol polyprotein from transposon 17.6
NPIL_201091,BMAW01057835.1,AVEN_154287_1,uncharacterized protein
NPIL_2011,BMAW01069171.1,Lrmp,lymphoid-restricted membrane protein
NPIL_201101,BMAW01057835.1,pol_3429,retrovirus-related Pol polyprotein from transposon 297
NPIL_20111,BMAW01071313.1,Hr96,nuclear hormone receptor HR96
NPIL_201111,BMAW01057835.1,Tf2-6_59,transposon Tf2-6 polyprotein
NPIL_201121,BMAW01057835.1,Tf2-6_59,transposon Tf2-6 polyprotein
NPIL_201131,BMAW01057835.1,Tf2-9_331,transposon Tf2-9 polyprotein
NPIL_201141,BMAW01057835.1,DHX34,probable ATP-dependent RNA helicase DHX34
NPIL_201151,BMAW01057835.1,ADAMTS1,a disintegrin and metalloproteinase with thrombospondin motifs 1
NPIL_201161,BMAW01057835.1,Unknown,hypothetical protein
NPIL_201171,BMAW01057835.1,Unknown,hypothetical protein
NPIL_201181,BMAW01057835.1,Unknown,hypothetical protein
NPIL_201191,BMAW01057835.1,Unknown,hypothetical protein
NPIL_2012,BMAW01069171.1,Lrmp,lymphoid-restricted membrane protein
NPIL_201201,BMAW01057835.1,EYA1,eyes absent homolog 1
NPIL_201202,BMAW01057835.1,Eya1,eyes absent homolog 1
NPIL_20121,BMAW01071313.1,Unknown,hypothetical protein
NPIL_201211,BMAW01057835.1,Unknown,hypothetical protein
NPIL_201221,BMAW01057835.1,Unknown,hypothetical protein
NPIL_201231,BMAW01057835.1,Unknown,hypothetical protein
NPIL_201241,BMAW01057835.1,Unknown,hypothetical protein
NPIL_201251,BMAW01057835.1,Unknown,hypothetical protein
NPIL_201261,BMAW01057835.1,Myl9,myosin regulatory light polypeptide 9
NPIL_201271,BMAW01057835.1,Tgs1,trimethylguanosine synthase
NPIL_201281,BMAW01057835.1,nme6,nucleoside diphosphate kinase 6
NPIL_201291,BMAW01057835.1,AVEN_151641_1,uncharacterized protein
NPIL_2013,BMAW01069171.1,Lrmp,lymphoid-restricted membrane protein
NPIL_201301,BMAW01057835.1,ENOSF1,mitochondrial enolase superfamily member 1
NPIL_20131,BMAW01031408.1,AVEN_253233_1,SEA domain-containing protein
NPIL_201311,BMAW01033848.1,Unknown,hypothetical protein
NPIL_201321,BMAW01033848.1,Unknown,hypothetical protein
NPIL_201331,BMAW01033848.1,Unknown,hypothetical protein
NPIL_201341,BMAW01033848.1,AVEN_213416_1,uncharacterized protein
NPIL_201351,BMAW01033848.1,Unknown,hypothetical protein
NPIL_201361,BMAW01033848.1,Unknown,hypothetical protein
NPIL_201371,BMAW01033848.1,PNLIP,pancreatic triacylglycerol lipase
NPIL_201381,BMAW01033848.1,Unknown,hypothetical protein
NPIL_201391,BMAW01033848.1,AVEN_213416_1,uncharacterized protein
NPIL_2014,BMAW01069171.1,AVEN_192009_1,uncharacterized protein
NPIL_201401,BMAW01033848.1,AVEN_124447_1,uncharacterized protein
NPIL_20141,BMAW01004540.1,Unknown,hypothetical protein
NPIL_201411,BMAW01082265.1,Unknown,hypothetical protein
NPIL_201421,BMAW01021245.1,Unknown,hypothetical protein
NPIL_201431,BMAW01102368.1,Nktr,NK-tumor recognition protein
NPIL_201441,BMAW01102368.1,Unknown,hypothetical protein
NPIL_201451,BMAW01102368.1,Unknown,hypothetical protein
NPIL_201461,BMAW01102368.1,Unknown,hypothetical protein
NPIL_201471,BMAW01102368.1,Unknown,hypothetical protein
NPIL_201481,BMAW01102368.1,Unknown,hypothetical protein
NPIL_201491,BMAW01102368.1,Unknown,hypothetical protein
NPIL_201501,BMAW01102368.1,TEAD1,transcriptional enhancer factor TEF-1
NPIL_201502,BMAW01102368.1,TEAD1,transcriptional enhancer factor TEF-1
NPIL_201503,BMAW01102368.1,TEAD1,transcriptional enhancer factor TEF-1
NPIL_20151,BMAW01079821.1,FMN2,formin-2
NPIL_201511,BMAW01102368.1,NCL1_33483,uncharacterized protein
NPIL_201521,BMAW01111919.1,Unknown,hypothetical protein
NPIL_201531,BMAW01089094.1,AVEN_198955_1,uncharacterized protein
NPIL_201541,BMAW01089094.1,Unknown,hypothetical protein
NPIL_201551,BMAW01089094.1,Unknown,hypothetical protein
NPIL_201561,BMAW01089094.1,X975_10701,regulator of microtubule dynamics protein 1
NPIL_201571,BMAW01089094.1,Unknown,putative ovo
NPIL_201581,BMAW01089094.1,AVEN_236479_1,uncharacterized protein
NPIL_201591,BMAW01089094.1,Unknown,hypothetical protein
NPIL_201601,BMAW01089220.1,Unknown,hypothetical protein
NPIL_20161,BMAW01022756.1,Enpp3_1,hypothetical protein
NPIL_201611,BMAW01089220.1,Egfr,epidermal growth factor receptor
NPIL_201612,BMAW01089220.1,Egfr,epidermal growth factor receptor
NPIL_201621,BMAW01089220.1,AVEN_171468_1,HSF_DOMAIN domain-containing protein
NPIL_201631,BMAW01089220.1,MDN1,midasin
NPIL_201641,BMAW01089220.1,Unknown,hypothetical protein
NPIL_201651,BMAW01089220.1,AVEN_104230_1,g_PROTEIN_RECEP_F1_2 domain-containing protein
NPIL_201661,BMAW01089220.1,MDN1,midasin
NPIL_201662,BMAW01089220.1,MDN1,midasin
NPIL_201671,BMAW01089220.1,NCL1_22980,uncharacterized protein
NPIL_201681,BMAW01089220.1,Unknown,hypothetical protein
NPIL_201691,BMAW01089220.1,Unknown,hypothetical protein
NPIL_201701,BMAW01089220.1,CNKSR2,connector enhancer of kinase suppressor of ras 2
NPIL_20171,BMAW01124364.1,Unknown,retrovirus-related Pol polyprotein from type-1 retrotransposable element R2
NPIL_201711,BMAW01089220.1,Unknown,hypothetical protein
NPIL_201721,BMAW01083189.1,AVEN_222096_1,uncharacterized protein
NPIL_201731,BMAW01077613.1,Unknown,hypothetical protein
NPIL_201741,BMAW01051291.1,Unknown,hypothetical protein
NPIL_201751,BMAW01010425.1,NCL1_16022,homeobox protein B-H2
NPIL_201761,BMAW01007606.1,Unknown,hypothetical protein
NPIL_201771,BMAW01012827.1,NCL1_50590,uncharacterized protein
NPIL_201781,BMAW01012827.1,AVEN_100840_1,integrase_H2C2 domain-containing protein
NPIL_201791,BMAW01112262.1,Unknown,hypothetical protein
NPIL_201801,BMAW01112262.1,X975_23396,uncharacterized protein
NPIL_20181,BMAW01073118.1,Unknown,hypothetical protein
NPIL_201811,BMAW01112262.1,SLC18B1,MFS-type transporter SLC18B1
NPIL_201821,BMAW01112262.1,SLC18B1,MFS-type transporter SLC18B1
NPIL_201831,BMAW01112262.1,Unknown,hypothetical protein
NPIL_201841,BMAW01112262.1,Tf2-9_324,transposon Tf2-9 polyprotein
NPIL_201851,BMAW01112262.1,Unknown,hypothetical protein
NPIL_201861,BMAW01112262.1,AVEN_199663_1,uncharacterized protein
NPIL_201871,BMAW01112262.1,KIAA0319,dyslexia-associated protein KIAA0319
NPIL_201872,BMAW01112262.1,KIAA0319,dyslexia-associated protein KIAA0319
NPIL_201873,BMAW01112262.1,Kiaa0319l,dyslexia-associated protein KIAA0319-like protein
NPIL_201881,BMAW01112262.1,rnf217,probable E3 ubiquitin-protein ligase RNF217
NPIL_201891,BMAW01016533.1,Unknown,hypothetical protein
NPIL_201901,BMAW01010150.1,Unknown,hypothetical protein
NPIL_20191,BMAW01103562.1,Unknown,hypothetical protein
NPIL_201911,BMAW01110113.1,Unknown,hypothetical protein
NPIL_201921,BMAW01018093.1,NCL1_14915,monocarboxylate transporter 9
NPIL_201931,BMAW01086766.1,PSAP_1,prosaposin
NPIL_201941,BMAW01057248.1,Unknown,hypothetical protein
NPIL_201951,BMAW01021273.1,Unknown,hypothetical protein
NPIL_201961,BMAW01086861.1,Unknown,hypothetical protein
NPIL_201971,BMAW01013551.1,AVEN_151375_1,uncharacterized protein
NPIL_201981,BMAW01083544.1,Unknown,hypothetical protein
NPIL_201991,BMAW01096968.1,Unknown,hypothetical protein
NPIL_202001,BMAW01113474.1,X975_06660,SCAN domain-containing protein 3
NPIL_20201,BMAW01059961.1,Unknown,hypothetical protein
NPIL_202011,BMAW01113474.1,X975_06660,SCAN domain-containing protein 3
NPIL_202021,BMAW01113474.1,Unknown,hypothetical protein
NPIL_202031,BMAW01113474.1,NPHS1_3,nephrin
NPIL_202041,BMAW01113474.1,Unknown,hypothetical protein
NPIL_202051,BMAW01113474.1,HCF,hemocyanin F chain
NPIL_202061,BMAW01113474.1,HCF,hemocyanin F chain
NPIL_202071,BMAW01113474.1,HCF,hemocyanin F chain
NPIL_202081,BMAW01113474.1,HCF,hemocyanin F chain
NPIL_202091,BMAW01113474.1,Unknown,hypothetical protein
NPIL_2021,BMAW01069171.1,X975_15075,SCAN domain-containing protein 3
NPIL_202101,BMAW01113474.1,Unknown,hypothetical protein
NPIL_20211,BMAW01059961.1,Unknown,hypothetical protein
NPIL_202111,BMAW01113474.1,Unknown,hypothetical protein
NPIL_202121,BMAW01045097.1,Unknown,hypothetical protein
NPIL_202131,BMAW01129903.1,Unknown,hypothetical protein
NPIL_202141,BMAW01017150.1,AVEN_117246_1,uncharacterized protein
NPIL_202151,BMAW01047172.1,Unknown,retrovirus-related Pol polyprotein from type-1 retrotransposable element R2
NPIL_202161,BMAW01062948.1,Unknown,hypothetical protein
NPIL_202171,BMAW01062948.1,Unknown,hypothetical protein
NPIL_202181,BMAW01051215.1,Unknown,hypothetical protein
NPIL_202191,BMAW01118957.1,Unknown,hypothetical protein
NPIL_202201,BMAW01080803.1,AVEN_223852_1,uncharacterized protein
NPIL_20221,BMAW01059961.1,AVEN_59705_1,uncharacterized protein
NPIL_202211,BMAW01080803.1,Unknown,hypothetical protein
NPIL_202221,BMAW01080803.1,Unknown,hypothetical protein
NPIL_202231,BMAW01010533.1,NAAT1,sodium-dependent nutrient amino acid transporter 1
NPIL_202241,BMAW01052273.1,Unknown,hypothetical protein
NPIL_202251,BMAW01082342.1,Unknown,putative reeler
NPIL_202261,BMAW01082342.1,Unknown,hypothetical protein
NPIL_202271,BMAW01082342.1,AVEN_143756_1,uncharacterized protein
NPIL_202281,BMAW01082342.1,ALDH18A1,delta-1-pyrroline-5-carboxylate synthase
NPIL_202291,BMAW01082342.1,ARHGEF10,rho guanine nucleotide exchange factor 10
NPIL_202292,BMAW01082342.1,ARHGEF10,rho guanine nucleotide exchange factor 10
NPIL_202301,BMAW01082342.1,pol,retrovirus-related Pol polyprotein from transposon 17.6
NPIL_20231,BMAW01059961.1,AVEN_59714_1,uncharacterized protein
NPIL_202311,BMAW01082342.1,Unknown,hypothetical protein
NPIL_202321,BMAW01082342.1,Unknown,hypothetical protein
NPIL_202331,BMAW01082342.1,Unknown,hypothetical protein
NPIL_202341,BMAW01082342.1,Suv39h2,histone-lysine N-methyltransferase SUV39H2
NPIL_202351,BMAW01017359.1,AVEN_256950_1,uncharacterized protein
NPIL_202361,BMAW01043023.1,Unknown,hypothetical protein
NPIL_202371,BMAW01031457.1,AVEN_166929_1,acetyltransf_18 domain-containing protein
NPIL_202381,BMAW01030846.1,AVEN_195153_1,uncharacterized protein
NPIL_202391,BMAW01094005.1,Unknown,hypothetical protein
NPIL_202401,BMAW01094005.1,Unknown,hypothetical protein
NPIL_20241,BMAW01059961.1,Unknown,hypothetical protein
NPIL_202411,BMAW01094005.1,Unknown,hypothetical protein
NPIL_202421,BMAW01094005.1,Unknown,hypothetical protein
NPIL_202431,BMAW01094005.1,Unknown,hypothetical protein
NPIL_202441,BMAW01094005.1,Unknown,reverse transcriptase domain-containing protein
NPIL_202451,BMAW01094005.1,Unknown,hypothetical protein
NPIL_202461,BMAW01094005.1,Unknown,hypothetical protein
NPIL_202471,BMAW01094005.1,Unknown,hypothetical protein
NPIL_202481,BMAW01094005.1,pol,retrovirus-related Pol polyprotein from type-2 retrotransposable element R2DM
NPIL_202491,BMAW01047800.1,Unknown,hypothetical protein
NPIL_202501,BMAW01047800.1,AVEN_50744_1,uncharacterized protein
NPIL_20251,BMAW01059961.1,Unknown,hypothetical protein
NPIL_202511,BMAW01077462.1,Unknown,hypothetical protein
NPIL_202521,BMAW01117024.1,Unknown,hypothetical protein
NPIL_202531,BMAW01020520.1,Unknown,hypothetical protein
NPIL_202541,BMAW01004364.1,Unknown,hypothetical protein
NPIL_202551,BMAW01099608.1,TY3B-I_242,transposon Ty3-I Gag-Pol polyprotein
NPIL_202561,BMAW01039961.1,Slc8b1,hypothetical protein
NPIL_202571,BMAW01039961.1,Slc8b1,hypothetical protein
NPIL_202581,BMAW01039961.1,Rnf25,e3 ubiquitin-protein ligase RNF25
NPIL_202591,BMAW01039961.1,gpkow,g-patch domain and KOW motifs-containing protein
NPIL_202601,BMAW01039961.1,Unknown,hypothetical protein
NPIL_20261,BMAW01059961.1,Unknown,hypothetical protein
NPIL_202611,BMAW01039961.1,Unknown,hypothetical protein
NPIL_202621,BMAW01039961.1,arhgap32,hypothetical protein
NPIL_202631,BMAW01039961.1,AVEN_58937_1,uncharacterized protein
NPIL_202641,BMAW01039961.1,AVEN_58936_1,uncharacterized protein
NPIL_202651,BMAW01039961.1,Pex1,peroxisome biogenesis factor 1
NPIL_202661,BMAW01039961.1,Unknown,hypothetical protein
NPIL_202671,BMAW01039961.1,Unknown,hypothetical protein
NPIL_202681,BMAW01039961.1,SOX2,transcription factor SOX-2
NPIL_202691,BMAW01039961.1,AVEN_58908_1,uncharacterized protein
