# Program:featureCounts v2.1.1; Command:"featureCounts" "-T" "8" "-p" "-t" "gene" "-g" "gene_id" "-a" "annotation.gtf" "-o" "counts/temp_counts_gene.txt" "alignments/NPFM1_sorted.bam" "alignments/NPFM2_sorted.bam" "alignments/NPFM3_sorted.bam" "alignments/NPFM4_sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	alignments/NPFM1_sorted.bam	alignments/NPFM2_sorted.bam	alignments/NPFM3_sorted.bam	alignments/NPFM4_sorted.bam
NPIL_501381	BMAW01027979.1	15137	15463	+	327	0	0	0	0
NPIL_501391	BMAW01027979.1	95496	95762	-	267	0	0	0	0
NPIL_501401	BMAW01027979.1	97058	97357	-	300	0	0	0	0
NPIL_501411	BMAW01027979.1	176690	332572	+	155883	21	109	258	3
NPIL_501421	BMAW01027979.1	332606	332884	-	279	1	0	0	0
NPIL_501431	BMAW01027979.1	364398	365315	+	918	327	0	8	616
NPIL_23031	BMAW01027980.1	3329	3684	+	356	0	0	0	0
NPIL_178211	BMAW01027986.1	1266	3540	+	2275	0	0	0	0
NPIL_366991	BMAW01027995.1	6103	7179	-	1077	0	0	10	0
NPIL_195541	BMAW01028003.1	709	2631	+	1923	0	0	0	0
NPIL_129891	BMAW01028004.1	480	2336	-	1857	0	2	4	0
NPIL_516881	BMAW01028006.1	8084	8986	+	903	0	0	0	4
NPIL_84651	BMAW01028022.1	278	2222	+	1945	0	0	0	0
NPIL_273241	BMAW01028024.1	2597	13832	+	11236	0	0	19	0
NPIL_363031	BMAW01028029.1	630	4212	+	3583	0	0	0	0
NPIL_134581	BMAW01028030.1	3765	4148	+	384	0	0	2	0
NPIL_636221	BMAW01028032.1	926	1180	+	255	0	0	0	0
NPIL_636231	BMAW01028032.1	12694	44864	+	32171	2	81	106	2
NPIL_636241	BMAW01028032.1	54894	94703	-	39810	272	160	200	110
NPIL_636251	BMAW01028032.1	119889	120149	+	261	0	0	0	0
NPIL_636261	BMAW01028032.1	127244	127594	+	351	0	0	1	0
NPIL_636271	BMAW01028032.1	129135	129410	-	276	2	6	3	4
NPIL_636281	BMAW01028032.1	134531	139395	+	4865	5	8	18	2
NPIL_636291	BMAW01028032.1	140513	140776	+	264	0	0	3	0
NPIL_636301	BMAW01028032.1	143534	143833	+	300	0	0	3	0
NPIL_636311	BMAW01028032.1	152856	202834	-	49979	180	142	238	46
NPIL_636321	BMAW01028032.1	242865	243227	-	363	0	0	0	0
NPIL_636331	BMAW01028032.1	244777	245545	+	769	0	0	3	0
NPIL_636341	BMAW01028032.1	262922	265479	+	2558	0	0	16	0
NPIL_636351	BMAW01028032.1	272208	272453	-	246	0	0	3	0
NPIL_334081	BMAW01028035.1	20330	41567	+	21238	226	57	49	20
NPIL_261341	BMAW01028037.1	942	1148	+	207	0	0	0	0
NPIL_6201	BMAW01028041.1	984	2432	-	1449	0	0	8	0
NPIL_615671	BMAW01028046.1	7003	12626	-	5624	0	0	0	0
NPIL_73921	BMAW01028049.1	5611	5887	-	277	9	35	0	3
NPIL_515571	BMAW01028059.1	1105	4302	-	3198	0	2	10	0
NPIL_150961	BMAW01028061.1	21816	22085	-	270	0	0	0	0
NPIL_401901	BMAW01028065.1	86	318	-	233	9	0	1	0
NPIL_342351	BMAW01028079.1	23665	55847	+	32183	117	32	53	44
NPIL_342361	BMAW01028079.1	58890	75033	-	16144	5253	4676	63	107
NPIL_342371	BMAW01028079.1	108606	118491	+	9886	5990	2799	37	83
NPIL_454911	BMAW01028081.1	54786	60203	+	5418	0	4	20	0
NPIL_6341	BMAW01028089.1	58776	118217	+	59442	194	178	375	24
NPIL_6351	BMAW01028089.1	123459	174101	-	50643	25	231	340	88
NPIL_6361	BMAW01028089.1	189460	193779	-	4320	0	7	10	0
NPIL_6371	BMAW01028089.1	226550	241582	-	15033	69	148	54	0
NPIL_6381	BMAW01028089.1	259240	259527	+	288	0	6	6	0
NPIL_6391	BMAW01028089.1	263360	267848	-	4489	0	13	17	0
NPIL_6401	BMAW01028089.1	293338	297019	-	3682	101	182	17	0
NPIL_6411	BMAW01028089.1	346833	347201	-	369	0	0	0	0
NPIL_6421	BMAW01028089.1	347277	348529	-	1253	0	2	8	0
NPIL_6431	BMAW01028089.1	349367	350230	-	864	0	0	0	0
NPIL_6441	BMAW01028089.1	350266	350556	+	291	0	0	2	0
NPIL_6451	BMAW01028089.1	350784	352271	-	1488	6	8	3	0
NPIL_6461	BMAW01028089.1	353544	451141	-	97598	82	280	445	62
NPIL_6471	BMAW01028089.1	467482	468237	-	756	0	0	4	0
NPIL_6481	BMAW01028089.1	468387	469709	-	1323	0	5	4	0
NPIL_6491	BMAW01028089.1	470239	471939	-	1701	0	24	28	0
NPIL_6501	BMAW01028089.1	472203	472592	-	390	0	0	4	0
NPIL_6511	BMAW01028089.1	472680	473214	-	535	0	0	0	0
NPIL_6521	BMAW01028089.1	473367	473795	-	429	0	0	1	0
NPIL_6531	BMAW01028089.1	474387	475657	-	1271	0	2	25	0
NPIL_6541	BMAW01028089.1	494587	519396	+	24810	32	54	124	18
NPIL_6551	BMAW01028089.1	594652	634189	+	39538	433	314	229	10
NPIL_6561	BMAW01028089.1	638862	652842	-	13981	30	29	49	2
NPIL_6571	BMAW01028089.1	652894	678070	-	25177	43	42	111	18
NPIL_6581	BMAW01028089.1	689078	708219	+	19142	500	284	73	191
NPIL_6591	BMAW01028089.1	712846	844573	-	131728	45	487	906	78
NPIL_6601	BMAW01028089.1	874544	874795	+	252	0	1	0	0
NPIL_6611	BMAW01028089.1	902663	902953	-	291	0	0	0	0
NPIL_6621	BMAW01028089.1	911708	912046	+	339	0	0	0	0
NPIL_6631	BMAW01028089.1	978879	979175	+	297	0	0	2	0
NPIL_6641	BMAW01028089.1	1032020	1033219	+	1200	0	0	4	0
NPIL_6651	BMAW01028089.1	1042510	1049661	-	7152	0	76	52	4
NPIL_6661	BMAW01028089.1	1096556	1096876	+	321	0	0	0	0
NPIL_6671	BMAW01028089.1	1108040	1108375	+	336	0	0	2	0
NPIL_6681	BMAW01028089.1	1236356	1236625	+	270	0	0	0	0
NPIL_6691	BMAW01028089.1	1464392	1464697	+	306	0	0	5	0
NPIL_80809	BMAW01028089.1	1629025	1629097	+	73	0	0	0	0
NPIL_6701	BMAW01028089.1	1704015	1704278	-	264	0	0	0	0
NPIL_6711	BMAW01028089.1	1705201	1706117	+	917	0	0	0	0
NPIL_6721	BMAW01028089.1	1707053	1707283	+	231	0	0	0	0
NPIL_6731	BMAW01028089.1	1745391	1746663	-	1273	0	0	0	0
NPIL_6741	BMAW01028089.1	1750314	1773390	+	23077	11	41	143	10
NPIL_6752	BMAW01028089.1;BMAW01028089.1;BMAW01028089.1;BMAW01028089.1;BMAW01028089.1;BMAW01028089.1;BMAW01028089.1;BMAW01028089.1;BMAW01028089.1	1789285;1792997;1798278;1798522;1803300;1810970;1816422;1817083;1821852	1789316;1793069;1798357;1798642;1803413;1811087;1816536;1817185;1821914	+;+;+;+;+;+;+;+;+	819	0	0	1	0
NPIL_6751	BMAW01028089.1;BMAW01028089.1;BMAW01028089.1;BMAW01028089.1;BMAW01028089.1;BMAW01028089.1;BMAW01028089.1;BMAW01028089.1;BMAW01028089.1	1789285;1792997;1798278;1798522;1803300;1810970;1816422;1817083;1818087	1789316;1793069;1798357;1798642;1803413;1811087;1816536;1817185;1818143	+;+;+;+;+;+;+;+;+	813	0	2	16	2
NPIL_6761	BMAW01028089.1	1830969	1838250	-	7282	2	6	25	0
NPIL_644211	BMAW01028093.1	50	6049	-	6000	0	1	0	0
NPIL_275461	BMAW01028096.1	53747	193154	-	139408	763	262	408	462
NPIL_275471	BMAW01028096.1	216961	274409	-	57449	5	118	265	8
NPIL_275481	BMAW01028096.1	297547	297825	+	279	0	0	2	0
NPIL_80810	BMAW01028096.1	355454	355525	+	72	0	0	0	0
NPIL_80811	BMAW01028096.1	360322	360394	+	73	0	0	0	0
NPIL_275491	BMAW01028096.1	500179	501500	+	1322	0	0	10	2
NPIL_275501	BMAW01028096.1	537913	538245	+	333	0	0	4	0
NPIL_275511	BMAW01028096.1	599627	601359	-	1733	5	0	10	0
NPIL_275521	BMAW01028096.1;BMAW01028096.1;BMAW01028096.1;BMAW01028096.1;BMAW01028096.1;BMAW01028096.1;BMAW01028096.1;BMAW01028096.1;BMAW01028096.1	614894;621443;634177;634983;635534;636371;639026;641707;649330	614967;621521;634330;635240;635686;636475;639103;641902;649435	+;+;+;+;+;+;+;+;+	1203	0	0	0	0
NPIL_275522	BMAW01028096.1;BMAW01028096.1;BMAW01028096.1;BMAW01028096.1;BMAW01028096.1;BMAW01028096.1;BMAW01028096.1;BMAW01028096.1;BMAW01028096.1	614894;621443;634177;634983;635534;636371;639026;641707;643351	614967;621521;634330;635240;635686;636475;639103;641902;643465	+;+;+;+;+;+;+;+;+	1212	0	0	2	0
NPIL_275531	BMAW01028096.1;BMAW01028096.1	643471;649330	643504;649541	+;+	246	0	0	0	0
NPIL_278991	BMAW01028108.1	1	3011	-	3011	0	0	5	0
NPIL_279001	BMAW01028108.1	10210	14981	+	4772	0	31	49	2
NPIL_279011	BMAW01028108.1	39063	69835	+	30773	51	48	72	21
NPIL_609931	BMAW01028109.1	2296	10036	+	7741	16268	6825	104	262
NPIL_152701	BMAW01028117.1	1127	1361	-	235	0	0	0	0
NPIL_479131	BMAW01028124.1	195	35504	+	35310	16	35	130	4
NPIL_646281	BMAW01028131.1	2	124	+	123	0	0	6	0
NPIL_630621	BMAW01028132.1	1141	1458	-	318	2	0	0	0
NPIL_119951	BMAW01028135.1	42348	42650	+	303	0	0	0	0
NPIL_119961	BMAW01028135.1	60385	78749	+	18365	237	157	89	192
NPIL_119971	BMAW01028135.1	162459	164286	+	1828	0	0	4	0
NPIL_119981	BMAW01028135.1	171314	172404	-	1091	0	0	4	0
NPIL_119991	BMAW01028135.1	173241	214115	+	40875	798	268	238	205
NPIL_120001	BMAW01028135.1	236926	237216	-	291	0	0	0	0
NPIL_120011	BMAW01028135.1	249650	256744	-	7095	0	3	28	0
NPIL_120021	BMAW01028135.1	258086	266166	+	8081	16	67	92	45
NPIL_120031	BMAW01028135.1	278971	302154	-	23184	56	77	146	14
NPIL_120041	BMAW01028135.1;BMAW01028135.1;BMAW01028135.1;BMAW01028135.1;BMAW01028135.1;BMAW01028135.1;BMAW01028135.1;BMAW01028135.1;BMAW01028135.1;BMAW01028135.1;BMAW01028135.1;BMAW01028135.1;BMAW01028135.1;BMAW01028135.1;BMAW01028135.1	302439;302547;305722;312666;313468;315610;315737;316205;316363;324195;324791;326739;328995;332595;335210	302471;302592;305964;312739;313593;315645;315807;316283;316438;324312;325175;326927;329030;332772;335271	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	1752	0	0	0	0
NPIL_120042	BMAW01028135.1;BMAW01028135.1;BMAW01028135.1;BMAW01028135.1;BMAW01028135.1;BMAW01028135.1;BMAW01028135.1;BMAW01028135.1;BMAW01028135.1;BMAW01028135.1;BMAW01028135.1;BMAW01028135.1;BMAW01028135.1;BMAW01028135.1;BMAW01028135.1	302439;302547;305722;312666;313468;315610;315737;316214;316363;324195;324791;326739;328995;332595;335210	302471;302592;305964;312739;313593;315645;315807;316283;316438;324312;325175;326927;329030;332772;335271	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	1743	0	0	0	0
NPIL_120051	BMAW01028135.1	345725	374136	-	28412	24	30	90	30
NPIL_120061	BMAW01028135.1	384439	384816	-	378	0	0	0	0
NPIL_120071	BMAW01028135.1	444884	478012	-	33129	11	77	208	12
NPIL_120081	BMAW01028135.1	486525	486734	+	210	0	10	7	4
NPIL_120091	BMAW01028135.1	488393	507257	-	18865	385	112	57	664
NPIL_120101	BMAW01028135.1	507468	540685	+	33218	4495	2396	282	6657
NPIL_565261	BMAW01028150.1	62819	76519	+	13701	0	1	5	0
NPIL_565271	BMAW01028150.1	84245	86357	+	2113	0	1	0	0
NPIL_565281	BMAW01028150.1	90039	94528	-	4490	0	0	6	2
NPIL_565291	BMAW01028150.1	202178	215394	+	13217	0	0	0	0
NPIL_565301	BMAW01028150.1	216989	218847	-	1859	0	0	0	0
NPIL_565311	BMAW01028150.1	219761	222269	-	2509	0	0	0	0
NPIL_565321	BMAW01028150.1	262738	263142	+	405	0	0	0	0
NPIL_565331	BMAW01028150.1	301348	301851	+	504	0	0	0	0
NPIL_565341	BMAW01028150.1	382591	386941	+	4351	0	0	0	0
NPIL_565351	BMAW01028150.1	387712	388167	+	456	0	0	0	0
NPIL_565361	BMAW01028150.1	388985	389667	+	683	0	0	0	0
NPIL_565371	BMAW01028150.1	389672	390010	+	339	0	0	0	0
NPIL_565381	BMAW01028150.1	390679	391083	+	405	0	0	0	0
NPIL_563711	BMAW01028151.1	1513	1800	+	288	0	0	0	0
NPIL_148281	BMAW01028153.1	1495	12436	-	10942	53	20	51	67
NPIL_148291	BMAW01028153.1	26929	57683	+	30755	3029	597	124	14
NPIL_148301	BMAW01028153.1	62205	98918	+	36714	0	72	130	6
NPIL_148311	BMAW01028153.1	98992	125011	+	26020	30	13	32	10
NPIL_164331	BMAW01028154.1	6414	7505	+	1092	13	4	5	0
NPIL_164341	BMAW01028154.1	40807	41901	-	1095	119	37	12	167
NPIL_80812	BMAW01028154.1	85924	85995	-	72	0	0	0	0
NPIL_164351	BMAW01028154.1	125889	129654	+	3766	4	15	27	0
NPIL_164361	BMAW01028154.1	152772	153704	-	933	0	0	2	0
NPIL_164371	BMAW01028154.1	153782	155385	+	1604	0	0	4	0
NPIL_164381	BMAW01028154.1	165415	166889	+	1475	0	0	0	1
NPIL_164391	BMAW01028154.1	190709	191372	+	664	1	0	0	0
NPIL_164401	BMAW01028154.1	198856	199221	+	366	0	0	0	0
NPIL_164411	BMAW01028154.1	204301	204573	+	273	0	0	0	0
NPIL_164421	BMAW01028154.1	210163	210465	+	303	0	0	6	0
NPIL_164431	BMAW01028154.1	218258	219085	+	828	0	0	0	0
NPIL_164441	BMAW01028154.1	235309	236439	-	1131	0	0	4	0
NPIL_164451	BMAW01028154.1	239567	239851	-	285	0	0	0	0
NPIL_164461	BMAW01028154.1	254368	255480	-	1113	0	0	2	0
NPIL_164471	BMAW01028154.1	260563	262442	-	1880	0	0	0	0
NPIL_164481	BMAW01028154.1	269679	270032	+	354	0	0	0	0
NPIL_164491	BMAW01028154.1	284957	286108	-	1152	0	0	2	0
NPIL_164501	BMAW01028154.1	287599	287889	-	291	0	0	0	0
NPIL_164511	BMAW01028154.1	304468	305598	-	1131	0	0	2	0
NPIL_164521	BMAW01028154.1	309533	310054	-	522	0	0	0	0
NPIL_164531	BMAW01028154.1	317976	318344	+	369	0	0	2	0
NPIL_164541	BMAW01028154.1	319468	320373	-	906	0	0	0	0
NPIL_164551	BMAW01028154.1;BMAW01028154.1;BMAW01028154.1;BMAW01028154.1;BMAW01028154.1;BMAW01028154.1;BMAW01028154.1;BMAW01028154.1;BMAW01028154.1;BMAW01028154.1;BMAW01028154.1	331543;331805;340709;341029;342686;345557;346431;349263;352164;355292;356887	331715;331984;340775;341202;342844;345683;346500;349453;352249;355404;357076	-;-;-;-;-;-;-;-;-;-;-	1530	0	0	0	0
NPIL_164552	BMAW01028154.1;BMAW01028154.1;BMAW01028154.1;BMAW01028154.1;BMAW01028154.1;BMAW01028154.1;BMAW01028154.1;BMAW01028154.1;BMAW01028154.1;BMAW01028154.1;BMAW01028154.1;BMAW01028154.1	331543;331805;340709;341029;342686;345557;346431;347316;349259;352164;355292;356887	331715;331984;340775;341202;342844;345683;346500;347371;349453;352249;355404;357076	-;-;-;-;-;-;-;-;-;-;-;-	1590	0	0	0	0
NPIL_164561	BMAW01028154.1	361853	363563	-	1711	0	0	0	0
NPIL_164571	BMAW01028154.1	365404	365784	+	381	0	0	2	0
NPIL_164581	BMAW01028154.1	370347	371549	+	1203	0	0	2	0
NPIL_164591	BMAW01028154.1	376414	376788	+	375	0	0	3	0
NPIL_164601	BMAW01028154.1	388715	390546	-	1832	0	0	3	0
NPIL_164611	BMAW01028154.1	390564	392493	-	1930	0	6	8	0
NPIL_700371	BMAW01028157.1	84460	85119	-	660	0	0	0	0
NPIL_700381	BMAW01028157.1	85198	85634	-	437	0	0	0	0
NPIL_700391	BMAW01028157.1	139298	139675	+	378	0	0	2	0
NPIL_111831	BMAW01028160.1	2535	3340	+	806	0	0	0	0
NPIL_565041	BMAW01028163.1	866	18880	-	18015	0	0	0	0
NPIL_565051	BMAW01028163.1	21679	22071	-	393	0	0	0	0
NPIL_704541	BMAW01028168.1	11354	11890	+	537	0	0	0	0
NPIL_704551	BMAW01028168.1	12001	12291	+	291	0	0	0	0
NPIL_704561	BMAW01028168.1	45210	52383	-	7174	8	28	56	7
NPIL_704571	BMAW01028168.1	52841	53113	-	273	0	0	0	0
NPIL_363941	BMAW01028170.1	2929	3234	-	306	0	0	0	0
NPIL_197711	BMAW01028171.1	1306	2834	+	1529	6	0	8	2
NPIL_197721	BMAW01028171.1	7760	19755	-	11996	101	2	29	22
NPIL_197731	BMAW01028171.1	39195	39479	+	285	2	0	0	0
NPIL_197741	BMAW01028171.1	65581	67382	+	1802	0	0	7	4
NPIL_197751	BMAW01028171.1	67403	73962	+	6560	576	0	6	181
NPIL_197761	BMAW01028171.1	81013	91822	+	10810	5	6	16	4
NPIL_65661	BMAW01028176.1	18239	19375	+	1137	0	0	0	0
NPIL_40921	BMAW01028192.1	7260	19844	+	12585	7	50	55	16
NPIL_175971	BMAW01028196.1	7100	8266	-	1167	0	0	0	0
NPIL_283361	BMAW01028201.1	1572	9511	-	7940	0	2	12	0
NPIL_326071	BMAW01028205.1	36309	72816	+	36508	367	76	113	187
NPIL_634691	BMAW01028213.1	251	681	+	431	0	0	0	0
NPIL_130201	BMAW01028215.1	2785	8924	-	6140	0	11	27	0
NPIL_485611	BMAW01028217.1	39630	39884	-	255	0	0	0	0
NPIL_485621	BMAW01028217.1	46224	47707	+	1484	0	0	0	0
NPIL_485631	BMAW01028217.1	48065	48397	+	333	0	0	0	0
NPIL_76541	BMAW01028219.1	2570	5517	+	2948	0	0	0	2
NPIL_352661	BMAW01028223.1	211	780	+	570	0	0	3	1
NPIL_352671	BMAW01028223.1	1206	1625	+	420	0	0	8	0
NPIL_141431	BMAW01028225.1	2454	6058	-	3605	0	0	0	0
NPIL_186501	BMAW01028226.1	9936	18605	-	8670	0	10	6	0
NPIL_399561	BMAW01028228.1	5679	6014	+	336	0	0	1	0
NPIL_399571	BMAW01028228.1	100273	100647	+	375	2	0	0	0
NPIL_254781	BMAW01028230.1	38143	38358	-	216	0	0	0	0
NPIL_254791	BMAW01028230.1	53784	56055	+	2272	4	5	13	0
NPIL_670721	BMAW01028234.1	589	836	+	248	0	0	5	0
NPIL_222351	BMAW01028240.1	421	598	+	178	0	0	3	0
NPIL_222361	BMAW01028240.1	22996	33260	-	10265	21	21	42	44
NPIL_222371	BMAW01028240.1	35733	40690	+	4958	0	2	4	0
NPIL_222381	BMAW01028240.1	55873	70753	+	14881	84	61	45	140
NPIL_222391	BMAW01028240.1	74820	90342	-	15523	947	422	74	726
NPIL_222401	BMAW01028240.1	114937	129103	-	14167	3	54	124	0
NPIL_222411	BMAW01028240.1	371023	371301	+	279	0	0	0	0
NPIL_222421	BMAW01028240.1	383268	383657	+	390	2	0	6	0
NPIL_592393	BMAW01028255.1;BMAW01028255.1;BMAW01028255.1;BMAW01028255.1;BMAW01028255.1;BMAW01028255.1;BMAW01028255.1;BMAW01028255.1;BMAW01028255.1;BMAW01028255.1;BMAW01028255.1;BMAW01028255.1;BMAW01028255.1;BMAW01028255.1;BMAW01028255.1;BMAW01028255.1;BMAW01028255.1;BMAW01028255.1;BMAW01028255.1	2861;8015;10279;10826;13904;14612;14801;19721;20514;21577;22177;23649;24528;34985;36099;37835;39372;39565;40822	2904;8089;10385;10908;14011;14680;15001;19816;20585;21669;22268;23697;24548;35094;36215;37928;39480;39707;40866	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	1728	0	0	0	0
NPIL_592391	BMAW01028255.1;BMAW01028255.1;BMAW01028255.1;BMAW01028255.1;BMAW01028255.1;BMAW01028255.1;BMAW01028255.1;BMAW01028255.1;BMAW01028255.1;BMAW01028255.1;BMAW01028255.1;BMAW01028255.1;BMAW01028255.1;BMAW01028255.1;BMAW01028255.1;BMAW01028255.1;BMAW01028255.1;BMAW01028255.1	2861;8015;10800;13904;14612;14801;19721;20514;21577;22177;23649;24528;34985;36099;37835;39372;39565;40822	2904;8089;10908;14011;14680;15001;19816;20585;21669;22268;23697;24548;35094;36215;37928;39480;39707;40866	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	1647	0	3	3	0
NPIL_592392	BMAW01028255.1;BMAW01028255.1;BMAW01028255.1;BMAW01028255.1;BMAW01028255.1;BMAW01028255.1;BMAW01028255.1;BMAW01028255.1;BMAW01028255.1;BMAW01028255.1;BMAW01028255.1;BMAW01028255.1;BMAW01028255.1;BMAW01028255.1;BMAW01028255.1;BMAW01028255.1;BMAW01028255.1;BMAW01028255.1	2861;8015;10279;13904;14612;14801;19721;20514;21577;22177;23649;24528;34985;36099;37835;39372;39565;40822	2904;8089;10390;14011;14680;15001;19816;20585;21669;22268;23697;24548;35094;36215;37928;39480;39707;40866	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	1650	0	0	0	0
NPIL_592401	BMAW01028255.1	75378	121725	-	46348	2	56	129	4
NPIL_592411	BMAW01028255.1	126078	126622	-	545	0	0	0	0
NPIL_592421	BMAW01028255.1;BMAW01028255.1;BMAW01028255.1;BMAW01028255.1;BMAW01028255.1;BMAW01028255.1;BMAW01028255.1	149710;166882;167550;169427;171262;172851;176570	150096;166932;167616;169563;171489;173214;177168	+;+;+;+;+;+;+	1833	0	0	0	0
NPIL_592422	BMAW01028255.1;BMAW01028255.1;BMAW01028255.1;BMAW01028255.1;BMAW01028255.1;BMAW01028255.1	149710;166882;167550;169427;172851;176570	150096;166932;167616;169563;173214;177168	+;+;+;+;+;+	1605	0	0	0	0
NPIL_592431	BMAW01028255.1	179502	218484	-	38983	0	5	26	2
NPIL_592441	BMAW01028255.1	226594	231984	+	5391	0	0	4	0
NPIL_592451	BMAW01028255.1	250400	260126	-	9727	0	10	10	0
NPIL_592461	BMAW01028255.1	287244	288212	-	969	0	0	6	5
NPIL_592471	BMAW01028255.1	318474	354437	-	35964	0	21	94	0
NPIL_592481	BMAW01028255.1	769097	778372	+	9276	13	34	43	8
NPIL_592491	BMAW01028255.1	786514	795924	-	9411	84689	75174	1774	1293
NPIL_592501	BMAW01028255.1	874809	927797	+	52989	27	88	198	26
NPIL_592511	BMAW01028255.1	894558	894830	-	273	0	0	0	0
NPIL_592521	BMAW01028255.1	931997	952314	-	20318	8	83	195	4
NPIL_592531	BMAW01028255.1	952343	965316	+	12974	0	37	41	10
NPIL_592541	BMAW01028255.1	1003083	1063857	-	60775	12	54	140	3
NPIL_592551	BMAW01028255.1	1256747	1257076	+	330	0	0	0	0
NPIL_592561	BMAW01028255.1	1338482	1338739	+	258	0	0	0	0
NPIL_626731	BMAW01028263.1	4224	13176	-	8953	0	0	0	0
NPIL_155061	BMAW01028266.1	10661	14783	+	4123	0	0	4	0
NPIL_422791	BMAW01028275.1;BMAW01028275.1;BMAW01028275.1;BMAW01028275.1	3788;5135;6167;7327	3809;5231;6308;7368	+;+;+;+	303	2	0	2	0
NPIL_422792	BMAW01028275.1;BMAW01028275.1;BMAW01028275.1;BMAW01028275.1	3788;5135;6167;7323	3809;5231;6308;7331	+;+;+;+	270	0	0	0	0
NPIL_468331	BMAW01028304.1	6533	6832	+	300	0	0	0	0
NPIL_468341	BMAW01028304.1	11713	69443	-	57731	15	24	133	46
NPIL_468351	BMAW01028304.1	82042	83045	-	1004	0	4	10	0
NPIL_468361	BMAW01028304.1	83601	92586	-	8986	0	21	35	2
NPIL_86231	BMAW01028307.1	87418	87651	+	234	0	0	0	0
NPIL_658691	BMAW01028309.1	1031	1273	+	243	0	0	14	0
NPIL_425531	BMAW01028313.1	881	2662	-	1782	18	21	8	0
NPIL_425541	BMAW01028313.1	3176	55562	-	52387	462	284	227	28
NPIL_425551	BMAW01028313.1	78092	134483	-	56392	2615	1066	358	948
NPIL_425561	BMAW01028313.1	134542	142277	-	7736	6	4	20	7
NPIL_425571	BMAW01028313.1	142314	142781	-	468	0	0	0	0
NPIL_425581	BMAW01028313.1	143155	143538	-	384	0	0	0	0
NPIL_425591	BMAW01028313.1	145326	145610	+	285	0	0	0	0
NPIL_425601	BMAW01028313.1	145710	147087	+	1378	0	0	0	0
NPIL_425611	BMAW01028313.1	169583	170190	+	608	2	0	0	0
NPIL_425621	BMAW01028313.1	171702	209334	-	37633	888	366	217	1204
NPIL_425631	BMAW01028313.1	220431	220955	-	525	0	0	0	0
NPIL_425641	BMAW01028313.1	239536	265131	+	25596	591	175	119	1029
NPIL_425651	BMAW01028313.1	297541	302370	+	4830	16	7	28	8
NPIL_425661	BMAW01028313.1	304039	304287	+	249	0	0	0	0
NPIL_425671	BMAW01028313.1	316554	329674	+	13121	4	16	47	0
NPIL_425681	BMAW01028313.1	329943	330278	+	336	0	0	1	0
NPIL_80228	BMAW01028313.1	330329	332095	+	1767	5	0	1	3
NPIL_425691	BMAW01028313.1	332343	332570	+	228	0	0	1	0
NPIL_425701	BMAW01028313.1	332861	333241	-	381	0	0	2	0
NPIL_80229	BMAW01028313.1	333512	337535	+	4024	0	1	0	3
NPIL_80230	BMAW01028313.1	333518	333674	+	157	0	0	0	0
NPIL_425711	BMAW01028313.1	334408	334764	-	357	0	0	0	0
NPIL_425721	BMAW01028313.1	334774	335307	-	534	0	0	0	0
NPIL_425731	BMAW01028313.1	335765	337022	-	1258	0	0	0	0
NPIL_425741	BMAW01028313.1	337318	343859	-	6542	0	13	57	0
NPIL_425751	BMAW01028313.1	356783	357157	+	375	0	7	9	0
NPIL_425761	BMAW01028313.1	357398	357643	-	246	0	0	5	2
NPIL_80814	BMAW01028316.1	192111	192183	-	73	0	0	0	0
NPIL_80813	BMAW01028316.1	195183	195255	-	73	0	0	0	0
NPIL_75261	BMAW01028327.1	3163	14253	+	11091	0	0	2	0
NPIL_75271	BMAW01028327.1	18953	22252	-	3300	0	0	0	0
NPIL_439791	BMAW01028333.1	2698	9107	-	6410	0	0	0	2
NPIL_439801	BMAW01028333.1	16021	16356	+	336	0	0	0	0
NPIL_503981	BMAW01028334.1	6561	20952	+	14392	0	0	2	0
NPIL_377261	BMAW01028335.1	775	3236	+	2462	0	6	18	2
NPIL_658601	BMAW01028339.1	2	119	+	118	0	0	0	0
NPIL_658611	BMAW01028339.1	241	612	-	372	0	0	0	0
NPIL_658621	BMAW01028339.1	2296	2568	-	273	0	0	0	0
NPIL_81751	BMAW01028344.1	697	1350	+	654	0	0	0	0
NPIL_81761	BMAW01028344.1	3470	5413	+	1944	0	0	1	0
NPIL_495131	BMAW01028346.1	35487	40362	-	4876	0	0	5	0
NPIL_644041	BMAW01028348.1	4560	8171	-	3612	1	0	0	8
NPIL_516121	BMAW01028355.1	13929	18217	-	4289	0	0	0	0
NPIL_393301	BMAW01028356.1	21544	31891	-	10348	0	0	0	0
NPIL_250781	BMAW01028357.1	15139	54532	-	39394	2	2	0	0
NPIL_80815	BMAW01028358.1	517	589	+	73	0	0	0	0
NPIL_172691	BMAW01028361.1	2926	4007	-	1082	0	0	1	2
NPIL_346831	BMAW01028367.1	677	1018	+	342	0	0	0	0
NPIL_582001	BMAW01028369.1	18062	18361	+	300	0	0	3	0
NPIL_582011	BMAW01028369.1	18716	19054	-	339	0	0	7	0
NPIL_90341	BMAW01028370.1	2311	7406	+	5096	0	0	10	0
