"","Chr","Start","End","Strand","Length","NPFM1","NPFM2","NPFM3","NPFM4","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","FoldChange"
"NPIL_80809","BMAW01028089.1","1629025","1629097","+",73,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"NPIL_80810","BMAW01028096.1","355454","355525","+",72,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"NPIL_80811","BMAW01028096.1","360322","360394","+",73,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"NPIL_80812","BMAW01028154.1","85924","85995","-",72,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"NPIL_80228","BMAW01028313.1","330329","332095","+",1767,5,0,1,3,1.7708751911167,0.629471565322585,3.7187279027089,0.169270670452669,0.86558374464991,0.961914838812561,1.54699825058389
"NPIL_80229","BMAW01028313.1","333512","337535","+",4024,7,9,4,11,8.44133899960306,-0.0656104889479494,3.04305379835488,-0.0215607390784282,0.982798351922183,0.989982550401146,-1.04652769339937
"NPIL_80230","BMAW01028313.1","333518","333674","+",157,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"NPIL_80814","BMAW01028316.1","192111","192183","-",73,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"NPIL_80813","BMAW01028316.1","195183","195255","-",73,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"NPIL_80815","BMAW01028358.1","517","589","+",73,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"NPIL_80816","BMAW01028585.1","414606","414669","+",64,0,2,0,4,1.85620528621698,0.609482926301812,4.1483727472663,0.14692096478154,0.883194403988535,0.96590626087,1.5257122831985
"NPIL_80817","BMAW01028692.1","3767","3838","+",72,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"NPIL_80818","BMAW01028692.1","4433","4504","+",72,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"NPIL_80819","BMAW01028692.1","6231","6302","+",72,0,0,2,0,0.537683650705716,2.69917582783982,4.89353184775603,0.551580312913985,0.581235927740693,0.891821718895381,6.4943080906042
"NPIL_80820","BMAW01028692.1","9090","9161","+",72,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"NPIL_80827","BMAW01028819.1","326536","326606","-",71,0,1,0,0,0.376352857063105,-1.74918591944753,4.93135297991929,-0.354707100986342,0.722809030610026,0.891821718895381,-3.36168820023485
"NPIL_80821","BMAW01028819.1","501207","501277","+",71,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"NPIL_80822","BMAW01028819.1","501360","501430","+",71,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"NPIL_80823","BMAW01028819.1","501509","501579","+",71,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"NPIL_80824","BMAW01028819.1","501659","501729","+",71,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"NPIL_80825","BMAW01028819.1","501809","501879","+",71,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"NPIL_80826","BMAW01028819.1","569633","569703","+",71,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"NPIL_80828","BMAW01028859.1","34249","34321","+",73,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"NPIL_80829","BMAW01028930.1","269521","269593","+",73,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"NPIL_80830","BMAW01029115.1","6854","6926","+",73,0,0,2,0,0.537683650705716,2.69917582783982,4.89353184775603,0.551580312913985,0.581235927740693,0.891821718895381,6.4943080906042
"NPIL_80831","BMAW01029200.1","1210","1289","+",80,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"NPIL_80833","BMAW01029388.1","9654","9726","-",73,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"NPIL_80832","BMAW01029388.1","11074","11146","+",73,0,0,1,0,0.268841825352858,1.71066871988845,4.99654001345877,0.342370663555293,0.732071963045407,0.891821718895381,3.27312504586027
"NPIL_80835","BMAW01029422.1","4772","4843","-",72,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"NPIL_80834","BMAW01029422.1","5327","5398","-",72,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"NPIL_80837","BMAW01029610.1","8604","8676","-",73,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"NPIL_80836","BMAW01029610.1","9415","9487","-",73,3,0,0,0,0.404645212017461,-2.08527808025581,4.91070681777757,-0.424639091201038,0.671099791559192,0.891821718895381,-4.24356883685501
"NPIL_80155","BMAW01029631.1","169944","170041","+",98,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"NPIL_80841","BMAW01029706.1;BMAW01029706.1","7496;7550","7530;7586","-;-",72,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"NPIL_80838","BMAW01029706.1","10237","10308","+",72,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"NPIL_80839","BMAW01029706.1","10883","10954","+",72,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"NPIL_80840","BMAW01029706.1","14391","14462","+",72,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"NPIL_80851","BMAW01029797.1","249428","249500","-",73,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"NPIL_80842","BMAW01029797.1","337005","337077","+",73,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"NPIL_80850","BMAW01029797.1","353766","353838","-",73,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"NPIL_80849","BMAW01029797.1","364209","364281","-",73,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"NPIL_80843","BMAW01029797.1","370448","370520","+",73,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"NPIL_80844","BMAW01029797.1","372751","372823","+",73,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"NPIL_80845","BMAW01029797.1","376424","376496","+",73,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"NPIL_80848","BMAW01029797.1","461816","461888","-",73,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"NPIL_80847","BMAW01029797.1","480430","480502","-",73,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"NPIL_80846","BMAW01029797.1","488538","488610","-",73,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"NPIL_80852","BMAW01030171.1","165952","166025","+",74,0,0,3,0,0.806525476058573,3.28359165010455,4.85756473614397,0.675974861574595,0.499056605713363,0.891821718895381,9.73777151628258
"NPIL_80853","BMAW01030182.1;BMAW01030182.1","17996;18044","18032;18099","+;+",93,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"NPIL_80854","BMAW01030404.1;BMAW01030404.1","158848;159076","158894;159118","+;+",90,0,0,3,0,0.806525476058573,3.28359165010455,4.85756473614397,0.675974861574595,0.499056605713363,0.891821718895381,9.73777151628258
"NPIL_80856","BMAW01030573.1","54131","54202","-",72,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"NPIL_80855","BMAW01030573.1","54207","54278","-",72,0,0,1,0,0.268841825352858,1.71066871988845,4.99654001345877,0.342370663555293,0.732071963045407,0.891821718895381,3.27312504586027
"NPIL_80857","BMAW01030660.1","586","658","-",73,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"NPIL_80858","BMAW01030665.1","1896","1968","-",73,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"NPIL_80859","BMAW01030690.1","385536","385608","+",73,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"NPIL_80860","BMAW01030690.1","385619","385690","+",72,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"NPIL_80224","BMAW01030909.1","86361","87108","+",748,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"NPIL_80225","BMAW01030909.1","123672","124415","-",744,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"NPIL_80862","BMAW01031217.1;BMAW01031217.1","341;395","376;433","-;-",75,0,0,1,0,0.268841825352858,1.71066871988845,4.99654001345877,0.342370663555293,0.732071963045407,0.891821718895381,3.27312504586027
"NPIL_80861","BMAW01031217.1;BMAW01031217.1","1320;1374","1355;1411","-;-",74,0,0,1,0,0.268841825352858,1.71066871988845,4.99654001345877,0.342370663555293,0.732071963045407,0.891821718895381,3.27312504586027
"NPIL_80863","BMAW01031423.1;BMAW01031423.1","59626;59678","59661;59714","-;-",73,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"NPIL_80864","BMAW01031503.1","705443","705515","+",73,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"NPIL_80866","BMAW01031705.1","164999","165085","-",87,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"NPIL_80865","BMAW01031705.1","167303","167389","-",87,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"NPIL_80867","BMAW01031803.1","6335","6430","+",96,0,0,4,0,1.07536730141143,3.69835447649903,4.80822345381341,0.769172754141835,0.441790762514931,0.891821718895381,12.981223641005
"NPIL_80868","BMAW01031966.1","12130","12202","-",73,1,0,1,0,0.403723562692011,0.439279670665621,4.96153547243239,0.0885370412257205,0.929449845279671,0.977696096790372,1.35592715178028
"NPIL_80872","BMAW01031969.1","1131","1202","-",72,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"NPIL_80871","BMAW01031969.1","2533","2604","-",72,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"NPIL_80870","BMAW01031969.1","5396","5467","-",72,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"NPIL_80869","BMAW01031969.1","9281","9352","-",72,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"NPIL_80873","BMAW01032228.1","25436","25508","+",73,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"NPIL_80874","BMAW01032284.1","458","531","-",74,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"NPIL_80875","BMAW01032430.1","776","847","+",72,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"NPIL_80876","BMAW01032463.1","18800","18883","-",84,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"NPIL_80884","BMAW01032666.1","7057","7129","-",73,0,0,1,0,0.268841825352858,1.71066871988845,4.99654001345877,0.342370663555293,0.732071963045407,0.891821718895381,3.27312504586027
"NPIL_80883","BMAW01032666.1","15994","16066","-",73,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"NPIL_80882","BMAW01032666.1","25339","25411","-",73,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"NPIL_80881","BMAW01032666.1","31472","31544","-",73,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"NPIL_80880","BMAW01032666.1","573195","573268","-",74,1,1,0,0,0.511234594402258,-2.32111400437873,4.89227440213714,-0.474444770179853,0.635182773698573,0.891821718895381,-4.997179373189
"NPIL_80877","BMAW01032666.1","573991","574061","+",71,0,7,3,0,3.44099547550031,-1.68819003853938,4.01814736369689,-0.42014139496023,0.674382164161706,0.891821718895381,-3.22252162186086
"NPIL_80879","BMAW01032666.1","603410","603482","-",73,0,0,2,0,0.537683650705716,2.69917582783982,4.89353184775603,0.551580312913985,0.581235927740693,0.891821718895381,6.4943080906042
"NPIL_80878","BMAW01032666.1","606189","606261","+",73,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"NPIL_80885","BMAW01032714.1;BMAW01032714.1","36250;36469","36295;36506","-;-",84,0,0,2,0,0.537683650705716,2.69917582783982,4.89353184775603,0.551580312913985,0.581235927740693,0.891821718895381,6.4943080906042
"NPIL_80886","BMAW01032782.1","50418","50490","-",73,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"NPIL_80887","BMAW01032912.1","1071","1143","-",73,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"NPIL_80888","BMAW01032952.1","51847","51918","+",72,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"NPIL_80889","BMAW01032952.1","52291","52362","+",72,0,0,2,0,0.537683650705716,2.69917582783982,4.89353184775603,0.551580312913985,0.581235927740693,0.891821718895381,6.4943080906042
"NPIL_80205","BMAW01032963.1","50793","50942","-",150,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"NPIL_80891","BMAW01033030.1","13461","13534","-",74,0,2,2,2,1.84213915087731,0.606093847027957,3.74786328764588,0.161717170694521,0.871528582271158,0.965407062998116,1.52213239203098
"NPIL_80890","BMAW01033030.1;BMAW01033030.1","294693;294740","294729;294787","+;+",85,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"NPIL_80900","BMAW01033304.1","56455","56527","-",73,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"NPIL_80892","BMAW01033304.1","58143","58215","+",73,0,0,3,0,0.806525476058573,3.28359165010455,4.85756473614397,0.675974861574595,0.499056605713363,0.891821718895381,9.73777151628258
"NPIL_80893","BMAW01033304.1","60949","61021","+",73,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"NPIL_80894","BMAW01033304.1","73505","73577","+",73,0,0,1,0,0.268841825352858,1.71066871988845,4.99654001345877,0.342370663555293,0.732071963045407,0.891821718895381,3.27312504586027
"NPIL_80895","BMAW01033304.1","81028","81100","+",73,0,3,3,0,1.93558404724789,-0.444168976814566,4.13333990824091,-0.107460065389009,0.914424005022164,0.976999608286085,-1.36053019626533
"NPIL_80896","BMAW01033304.1","90799","90871","+",73,0,0,1,0,0.268841825352858,1.71066871988845,4.99654001345877,0.342370663555293,0.732071963045407,0.891821718895381,3.27312504586027
"NPIL_80897","BMAW01033304.1","92652","92724","+",73,0,1,0,0,0.376352857063105,-1.74918591944753,4.93135297991929,-0.354707100986342,0.722809030610026,0.891821718895381,-3.36168820023485
"NPIL_80899","BMAW01033304.1","94578","94650","-",73,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"NPIL_80898","BMAW01033304.1","98632","98704","-",73,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"NPIL_80902","BMAW01033385.1","305766","305838","-",73,0,4,0,0,1.50541142825242,-3.88489952190352,4.68671048122916,-0.828918179918091,0.407150707357564,0.891821718895381,-14.7730880477358
"NPIL_80901","BMAW01033385.1","386451","386522","+",72,0,0,7,0,1.88189277747,4.50537950442079,4.57339525730654,0.98512795219764,0.324561224801803,0.891821718895381,22.7119473461765
"NPIL_80905","BMAW01033480.1","1362","1433","-",72,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"NPIL_80903","BMAW01033480.1","1577","1648","+",72,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"NPIL_80904","BMAW01033480.1","5548","5619","+",72,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"NPIL_80906","BMAW01033652.1","12845","12916","-",72,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"NPIL_80909","BMAW01033653.1","1184","1265","-",82,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"NPIL_80908","BMAW01033653.1","1422","1500","-",79,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"NPIL_80907","BMAW01033653.1","1670","1751","-",82,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"NPIL_80910","BMAW01034187.1","1867","1939","+",73,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"NPIL_80911","BMAW01034213.1","2258","2330","-",73,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"NPIL_80912","BMAW01034271.1;BMAW01034271.1","455;522","512;558","-;-",95,0,0,4,0,1.07536730141143,3.69835447649903,4.80822345381341,0.769172754141835,0.441790762514931,0.891821718895381,12.981223641005
"NPIL_80917","BMAW01034321.1","343946","344027","-",82,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"NPIL_80916","BMAW01034321.1","352107","352188","-",82,0,0,1,0,0.268841825352858,1.71066871988845,4.99654001345877,0.342370663555293,0.732071963045407,0.891821718895381,3.27312504586027
"NPIL_80913","BMAW01034321.1","388143","388224","+",82,0,0,1,0,0.268841825352858,1.71066871988845,4.99654001345877,0.342370663555293,0.732071963045407,0.891821718895381,3.27312504586027
"NPIL_80914","BMAW01034321.1","395419","395500","+",82,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"NPIL_80915","BMAW01034321.1","431279","431360","-",82,0,0,9,0,2.41957642817572,4.86783234049204,4.50561191740474,1.08039316961323,0.279967136168575,0.891821718895381,29.1987021757515
"NPIL_80918","BMAW01034483.1","510","580","+",71,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"NPIL_80923","BMAW01034514.1","46283","46354","-",72,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"NPIL_80922","BMAW01034514.1","67418","67497","-",80,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"NPIL_80921","BMAW01034514.1","74906","74977","-",72,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"NPIL_80919","BMAW01034514.1","102776","102848","+",73,2,0,0,0,0.269763474678307,-1.63527295492516,4.93518650102935,-0.331349778693081,0.740380294932015,0.891821718895381,-3.10646318083294
"NPIL_80920","BMAW01034514.1","201710","201782","-",73,0,0,1,0,0.268841825352858,1.71066871988845,4.99654001345877,0.342370663555293,0.732071963045407,0.891821718895381,3.27312504586027
"NPIL_80924","BMAW01034630.1","25672","25743","+",72,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"NPIL_80158","BMAW01034849.1","603359","603444","-",86,0,9,0,0,3.38717571356794,-5.06723099913662,4.47665763958772,-1.13192283330456,0.257666878180599,0.891821718895381,-33.5265237837539
"NPIL_80925","BMAW01034875.1;BMAW01034875.1","1989031;1989210","1989067;1989248","+;+",76,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"NPIL_80926","BMAW01035014.1","1221","1293","+",73,0,0,4,0,1.07536730141143,3.69835447649903,4.80822345381341,0.769172754141835,0.441790762514931,0.891821718895381,12.981223641005
"NPIL_80927","BMAW01035014.1","1901","1973","+",73,0,0,3,0,0.806525476058573,3.28359165010455,4.85756473614397,0.675974861574595,0.499056605713363,0.891821718895381,9.73777151628258
"NPIL_80928","BMAW01035014.1","2443","2515","+",73,0,0,5,0,1.34420912676429,4.02013983356769,4.69792207260442,0.85572722821667,0.392148675749104,0.891821718895381,16.2249242051548
"NPIL_80929","BMAW01035204.1","1244","1315","+",72,0,0,2,0,0.537683650705716,2.69917582783982,4.89353184775603,0.551580312913985,0.581235927740693,0.891821718895381,6.4943080906042
"NPIL_80930","BMAW01035204.1","1694","1765","+",72,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"NPIL_80931","BMAW01035204.1","3692","3763","+",72,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"NPIL_80932","BMAW01035204.1","5578","5649","+",72,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"NPIL_80937","BMAW01035204.1","16353","16424","-",72,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"NPIL_80936","BMAW01035204.1","24949","25020","-",72,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"NPIL_80935","BMAW01035204.1","39495","39566","-",72,0,2,2,0,1.29038936483193,-0.427078948446214,4.29983812078598,-0.0993244248851272,0.920880686048255,0.976999608286085,-1.34450856753788
"NPIL_80934","BMAW01035204.1","41340","41411","-",72,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"NPIL_80933","BMAW01035204.1","42358","42429","-",72,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"NPIL_80939","BMAW01035239.1","432","503","-",72,0,0,8,0,2.15073460282286,4.69795996455743,4.53500157820756,1.03593347952357,0.300233177185137,0.891821718895381,25.9553486957577
"NPIL_80938","BMAW01035239.1","509","580","-",72,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"NPIL_80940","BMAW01035249.1","3744","3815","-",72,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"NPIL_80941","BMAW01035407.1","17278","17349","-",72,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"NPIL_80942","BMAW01035414.1","85","157","+",73,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"NPIL_80943","BMAW01035486.1","64516","64588","+",73,0,0,1,0,0.268841825352858,1.71066871988845,4.99654001345877,0.342370663555293,0.732071963045407,0.891821718895381,3.27312504586027
"NPIL_80944","BMAW01035591.1","414","502","+",89,0,0,4,0,1.07536730141143,3.69835447649903,4.80822345381341,0.769172754141835,0.441790762514931,0.891821718895381,12.981223641005
"NPIL_80945","BMAW01035646.1","894","966","+",73,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"NPIL_80946","BMAW01035729.1","739583","739655","+",73,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"NPIL_80951_1","BMAW01035729.1","740503","740584","-",82,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"NPIL_80947","BMAW01035729.1","742850","742931","+",82,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"NPIL_80950","BMAW01035729.1","752048","752129","-",82,1,1,4,0,1.58660189581369,1.11993803146045,3.84133666647334,0.291549043653246,0.770631440678944,0.900339757197484,2.17337636931981
"NPIL_80949","BMAW01035729.1","754153","754234","-",82,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"NPIL_80948","BMAW01035729.1;BMAW01035729.1","1112291;1112362","1112328;1112407","+;+",84,0,2,5,0,2.0969148408905,0.896977776861171,4.1118602762515,0.218144031313944,0.827316891375442,0.945309018503614,1.86216095488718
"NPIL_80952","BMAW01035804.1","3808","3879","+",72,0,4,0,0,1.50541142825242,-3.88489952190352,4.68671048122916,-0.828918179918091,0.407150707357564,0.891821718895381,-14.7730880477358
"NPIL_80953","BMAW01035870.1;BMAW01035870.1","979879;980102","979915;980137","+;+",73,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"NPIL_80955","BMAW01035870.1","1260139","1260211","-",73,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"NPIL_80954","BMAW01035870.1","1275046","1275118","+",73,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"NPIL_80956","BMAW01036070.1","19724","19796","-",73,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"NPIL_80957","BMAW01036291.1","132561","132632","+",72,0,0,2,0,0.537683650705716,2.69917582783982,4.89353184775603,0.551580312913985,0.581235927740693,0.891821718895381,6.4943080906042
"NPIL_80959","BMAW01036402.1","85","157","-",73,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"NPIL_80958","BMAW01036402.1","1766","1838","-",73,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"NPIL_80960","BMAW01036437.1","30456","30519","-",64,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"NPIL_80961","BMAW01036529.1","37402","37472","+",71,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"NPIL_80962","BMAW01036546.1","356","427","+",72,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"NPIL_80963","BMAW01036546.1","8736","8807","+",72,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"NPIL_80964","BMAW01036546.1","46519","46590","+",72,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"NPIL_80965","BMAW01036546.1","51063","51134","+",72,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"NPIL_80967","BMAW01036546.1","53154","53225","-",72,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"NPIL_80966","BMAW01036546.1","76685","76756","-",72,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"NPIL_80968","BMAW01036580.1","148","220","+",73,0,0,10,0,2.68841825352858,5.01979173912096,4.48252748366902,1.11985743699494,0.262774518491331,0.891821718895381,32.4420198331592
"NPIL_80969","BMAW01036580.1","1279","1351","+",73,0,0,11,0,2.95726007888144,5.15725874089103,4.46294306249121,1.15557350131468,0.247855652045836,0.891821718895381,35.6853184273729
"NPIL_80970","BMAW01036580.1","1550","1622","+",73,0,0,32,1,8.87881330431414,6.7431342602454,3.95870346649763,1.70336937770467,0.0884989646311551,0.891821718895381,107.123727759809
"NPIL_80971","BMAW01036580.1","2149","2221","+",73,0,0,26,3,7.81751213824238,6.55948367146209,3.88550963854939,1.68819132666236,0.0913745076250044,0.891821718895381,94.3194677135459
"NPIL_80972","BMAW01036580.1","4079","4155","+",77,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"NPIL_80973","BMAW01036580.1","14076","14147","+",72,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"NPIL_80974","BMAW01036580.1","17027","17099","+",73,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"NPIL_80235","BMAW01036787.1","3298","3408","+",111,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"NPIL_80976","BMAW01036823.1","62","133","-",72,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"NPIL_80975","BMAW01036823.1","282","353","-",72,0,2,0,0,0.75270571412621,-2.86399280466654,4.85926394632269,-0.589388194653206,0.555600893974388,0.891821718895381,-7.28027428273396
"NPIL_80977","BMAW01037273.1","323444","323516","-",73,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"NPIL_80245","BMAW01037283.1","63897","63989","+",93,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"NPIL_80978","BMAW01037286.1","56193","56264","-",72,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"NPIL_80247","BMAW01037325.1","12892","13490","+",599,0,0,2,0,0.537683650705716,2.69917582783982,4.89353184775603,0.551580312913985,0.581235927740693,0.891821718895381,6.4943080906042
"NPIL_80979","BMAW01037382.1","7144","7215","-",72,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"NPIL_80980","BMAW01037618.1","11740","11811","-",72,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"NPIL_80981","BMAW01037728.1","4016","4097","+",82,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"NPIL_80989","BMAW01037792.1;BMAW01037792.1","11373;11427","11408;11464","-;-",74,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"NPIL_80982","BMAW01037792.1;BMAW01037792.1","71088;71144","71125;71179","+;+",74,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"NPIL_80983","BMAW01037792.1;BMAW01037792.1","99224;99280","99261;99315","+;+",74,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"NPIL_80988","BMAW01037792.1;BMAW01037792.1","162164;162218","162199;162255","-;-",74,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"NPIL_80984","BMAW01037792.1;BMAW01037792.1","233318;233374","233355;233410","+;+",75,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"NPIL_80987","BMAW01037792.1;BMAW01037792.1","269979;270033","270014;270070","-;-",74,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"NPIL_80986","BMAW01037792.1;BMAW01037792.1","330289;330343","330324;330380","-;-",74,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"NPIL_80985","BMAW01037792.1;BMAW01037792.1","379123;379177","379158;379214","-;-",74,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"NPIL_80269","BMAW01037865.1","6540","6645","-",106,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"NPIL_80990","BMAW01038177.1","453","524","+",72,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"NPIL_80991_1","BMAW01038177.1","530","601","+",72,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"NPIL_80992","BMAW01038178.1","66036","66107","+",72,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"NPIL_80993","BMAW01038608.1","35876","35947","+",72,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"NPIL_80994","BMAW01038608.1","35952","36023","+",72,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"NPIL_80995","BMAW01038655.1","99180","99251","-",72,0,0,1,0,0.268841825352858,1.71066871988845,4.99654001345877,0.342370663555293,0.732071963045407,0.891821718895381,3.27312504586027
"NPIL_80996","BMAW01038879.1","62661","62738","+",78,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"NPIL_80997","BMAW01038925.1;BMAW01038925.1","65549;65595","65583;65633","+;+",74,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"NPIL_80998","BMAW01039077.1;BMAW01039077.1","965775;965824","965811;965877","+;+",91,0,0,0,0,0,NA,NA,NA,NA,NA,NA
