Gene ID,protein_id,Preferred_Name,Pfam_Domains,sseqid,pident,evalue,bitscore,NPFM1,NPFM2,NPFM3,NPFM4,Protein Description
,GFS84431.1,107363714,"MIR,PMT,PMT_4TMC",32264.tetur10g00440.1,67.4,0.0,976.0,,,,,protein O-mannosyl-transferase 2 [Nephila pilipes]
,GFS84435.1,,"Ank_2,Cystatin,HECT,Inhibitor_I29,MIB_HERC2,Peptidase_C1,Sad1_UNC",126957.SMAR009040-PA,62.8,0.0,3003.0,,,,,e3 ubiquitin-protein ligase HECTD1 [Nephila pilipes]
NPIL_207681,GFS84437.1,,Frag1,400682.PAC_15723483,24.6,4.75e-10,67.8,0.0,0.0,0.0,0.0,uncharacterized protein NPIL_207681 [Nephila pilipes]
NPIL_207682,GFS84439.1,,Frag1,400682.PAC_15723483,24.1,3.03e-10,68.2,0.0,0.0,0.0,0.0,uncharacterized protein NPIL_207682 [Nephila pilipes]
,GFS84456.1,6051441,p450,7176.CPIJ017462-PA,51.0,5.33e-29,115.0,,,,,"cytochrome P450 6B2, partial [Nephila pilipes]"
,GFS84466.1,,"ADH_zinc_N_2,Acyl_transf_1,KAsynt_C_assoc,KR,Ketoacyl-synt_C,PP-binding,PS-DH,Thioesterase,ketoacyl-synt",32264.tetur06g02230.1,38.0,1.14e-177,576.0,,,,,"fatty acid synthase, partial [Nephila pilipes]"
,GFS84482.1,,Transposase_1,38654.XP_006029730.1,56.5,2.81e-20,90.9,,,,,putative transposase [Nephila pilipes]
,GFS84484.1,,"DUF1758,DUF1759,Peptidase_A17",7070.TC010684-PA,38.8,1.35e-07,57.8,,,,,DUF1758 domain-containing protein [Nephila pilipes]
,GFS84493.1,SERPINB8,Serpin,61853.ENSNLEP00000010966,40.9,9.42e-20,89.7,,,,,"serpin B8, partial [Nephila pilipes]"
NPIL_328553,GFS84519.1,ASIC5,ASC,9823.ENSSSCP00000009460,37.1,0.000997,45.4,0.0,0.0,1.33661043025695,0.0,hypothetical protein NPIL_328553 [Nephila pilipes]
"NPIL_328551,",GFS84522.1,ASIC5,ASC,9823.ENSSSCP00000009460,37.1,0.000678,45.4,,,,,"hypothetical protein NPIL_328551, partial [Nephila pilipes]"
NPIL_328552,GFS84524.1,ASIC5,ASC,9823.ENSSSCP00000009460,37.1,0.000461,45.4,0.0,0.0,0.0,0.0,hypothetical protein NPIL_328552 [Nephila pilipes]
,GFS84531.1,,"Exo_endo_phos_2,PRE_C2HC",7029.ACYPI064594-PA,45.4,3.4899999999999998e-25,107.0,,,,,nucleic-acid-binding protein from transposon X-element [Nephila pilipes]
,GFS84538.1,,"Exo_endo_phos_2,RVT_1",7029.ACYPI071073-PA,32.5,6.35e-26,115.0,,,,,putative RNA-directed DNA polymerase from transposon X-element [Nephila pilipes]
,GFS84539.1,,"CENP-B_N,DDE_1,HTH_Tnp_Tc5",109478.XP_005863307.1,45.5,1.42e-10,63.9,,,,,tigger transposable element-derived protein 1 [Nephila pilipes]
,GFS84554.1,AAEL010661,Scramblase,7159.AAEL010661-PA,61.0,4.8099999999999996e-108,326.0,,,,,phospholipid scramblase 1 [Nephila pilipes]
,GFS84556.1,,Frataxin_Cyay,132113.XP_003485626.1,56.0,6.86e-38,135.0,,,,,"frataxin, mitochondrial [Nephila pilipes]"
,GFS84558.1,NUDT15,NUDIX,9305.ENSSHAP00000006667,55.9,4.75e-57,182.0,,,,,nucleotide triphosphate diphosphatase NUDT15 [Nephila pilipes]
,GFS84560.1,AAEL010661,Scramblase,7159.AAEL010661-PA,67.9,2.0199999999999999e-131,386.0,,,,,phospholipid scramblase 1 [Nephila pilipes]
NPIL_179572,GFS84564.1,GH11741,BPL_LplA_LipB,7222.FBpp0145647,56.2,7.39e-79,243.0,0.170944698117828,0.0,0.0,0.631592229523146,hypothetical protein NPIL_179572 [Nephila pilipes]
NPIL_179571,GFS84566.1,,BPL_LplA_LipB,126957.SMAR008765-PA,51.0,2.99e-44,152.0,0.0,0.0,0.0,0.0,hypothetical protein NPIL_179571 [Nephila pilipes]
,GFS84572.1,,Zona_pellucida,32264.tetur04g01680.1,67.7,9.94e-184,547.0,,,,,ZP domain-containing protein [Nephila pilipes]
,GFS84574.1,,"NARP1,TPR_8",126957.SMAR002531-PA,50.4,5.12e-69,236.0,,,,,"n-alpha-acetyltransferase 15, NatA auxiliary subunit [Nephila pilipes]"
,GFS84578.1,L798_06447,"NARP1,TPR_8",136037.KDR18769,73.3,0.0,895.0,,,,,"n-alpha-acetyltransferase 15, NatA auxiliary subunit [Nephila pilipes]"
,GFS84583.1,,"DUF1758,DUF1759,Peptidase_A17,rve",7029.ACYPI008751-PA,27.5,3.1699999999999997e-25,115.0,,,,,DUF1758 domain-containing protein [Nephila pilipes]
,GFS84585.1,,"DUF1758,Peptidase_A17,RVT_1,rve",69319.XP_008551211.1,41.3,9.47e-39,151.0,,,,,integrase catalytic domain-containing protein [Nephila pilipes]
,GFS84587.1,LOC411024,"Sof1,WD40",7460.GB42987-PA,60.0,3.89e-191,544.0,,,,,DDB1- and CUL4-associated factor 13 [Nephila pilipes]
,GFS84589.1,,"RVT_1,rve",7029.ACYPI010238-PA,48.5,6.96e-162,501.0,,,,,transposon Tf2-6 polyprotein [Nephila pilipes]
NPIL_179691,GFS84591.1,,RVT_1,400682.PAC_15708359,56.4,1.14e-64,213.0,0.0,0.0,0.0,0.0,hypothetical protein NPIL_179691 [Nephila pilipes]
,GFS84595.1,,Ras,126957.SMAR002530-PA,75.0,6.2299999999999996e-93,279.0,,,,,ras-related protein Rab-33B [Nephila pilipes]
,GFS84597.1,Rraga,Gtr1_RagA,34839.XP_005388783.1,84.6,7.530000000000001e-185,518.0,,,,,ras-related GTP-binding protein A [Nephila pilipes]
,GFS84602.1,LOC656017,"HLH,PAS_11",7070.TC014256-PA,47.0,1.98e-81,305.0,,,,,nuclear receptor coactivator 1 [Nephila pilipes]
,GFS84604.1,LOC656017,"HLH,PAS_11",7070.TC014256-PA,47.0,1.98e-81,305.0,,,,,nuclear receptor coactivator 1 [Nephila pilipes]
,GFS84606.1,LOC656017,"HLH,PAS_11",7070.TC014256-PA,47.2,1.17e-82,309.0,,,,,nuclear receptor coactivator 1 [Nephila pilipes]
,GFS84608.1,,Inositol_P,7739.XP_002590883.1,63.8,8.38e-132,383.0,,,,,"3'(2'),5'-bisphosphate nucleotidase 1 [Nephila pilipes]"
NPIL_179761,GFS84610.1,8236596,"Mad3_BUB1_I,Pkinase",121225.PHUM164060-PA,28.0,9.72e-84,306.0,13.9025904085267,2.49826230846505,0.397775264044468,1.39455564278711,hypothetical protein NPIL_179761 [Nephila pilipes]
,GFS84612.1,,DUF1759,7425.NV30946-PA,37.4,2.09e-18,92.8,,,,,transposon Tf2-6 polyprotein [Nephila pilipes]
,GFS84614.1,AND_006753,Ribosomal_S7,43151.ADAC006753-PA,51.3,1.61e-62,201.0,,,,,"28S ribosomal protein S7, mitochondrial [Nephila pilipes]"
,GFS84616.1,,NTPase_I-T,10224.XP_002731503.2,49.1,8.739999999999999e-82,261.0,,,,,protein PRRC1-B [Nephila pilipes]
,GFS84620.1,,VWA_2,126957.SMAR011903-PA,54.3,6.83e-190,546.0,,,,,integrator complex subunit 14 [Nephila pilipes]
NPIL_616591,GFS84692.1,,Transposase_1,6087.XP_004206745.1,36.0,4.57e-16,78.6,0.0,0.0,0.0,0.0,hypothetical protein NPIL_616591 [Nephila pilipes]
,GFS84694.1,,UPF0547,9713.XP_006729758.1,48.4,1.2999999999999998e-23,95.9,,,,,HTH_48 domain-containing protein [Nephila pilipes]
,GFS84704.1,WP1345,PDDEXK_2,570417.WP1345,64.9,3.2799999999999996e-134,389.0,,,,,transposase [Nephila pilipes]
NPIL_595141,GFS84707.1,WP1379,"Ank_5,Latrotoxin_C",570417.WP1379,61.5,3.91e-72,236.0,2.17422749679818,1.59899021279125,6.26297458748971,5.35543641623312,hypothetical protein NPIL_595141 [Nephila pilipes]
,GFS84733.1,,"DUF1758,Peptidase_A17",7070.TC010713-PA,31.9,4.49e-09,63.9,,,,,DUF1758 domain-containing protein [Nephila pilipes]
NPIL_271271,GFS84734.1,,"DUF1758,DUF1759,Peptidase_A17,rve",7070.TC010686-PA,35.1,1.17e-05,50.1,0.0,0.0,0.0,0.0,uncharacterized protein NPIL_271271 [Nephila pilipes]
,GFS84737.1,8236234,Dynamin_N,121225.PHUM498620-PA,63.1,0.0,1082.0,,,,,"dynamin-like 120 kDa protein, mitochondrial, partial [Nephila pilipes]"
,GFS84738.1,8236234,Dynamin_N,121225.PHUM498620-PA,63.7,0.0,1086.0,,,,,"dynamin-like 120 kDa protein, mitochondrial, partial [Nephila pilipes]"
,GFS84739.1,,"AA_permease,SLC12",126957.SMAR009141-PA,50.4,3.48e-111,358.0,,,,,"solute carrier family 12 member 9, partial [Nephila pilipes]"
,GFS84744.1,,An_peroxidase,32264.tetur19g02430.1,50.6,1.86e-203,618.0,,,,,"peroxidasin homolog, partial [Nephila pilipes]"
,GFS84745.1,,Carb_anhydrase,132113.XP_003488089.1,52.0,3.08e-91,282.0,,,,,putative carbonic anhydrase-like protein 2 [Nephila pilipes]
,GFS84746.1,,Carb_anhydrase,7091.BGIBMGA000934-TA,49.1,7.939999999999999e-74,234.0,,,,,putative carbonic anhydrase-like protein 2 [Nephila pilipes]
,GFS84748.1,,B12-binding,8469.XP_007058814.1,70.7,4.72e-31,112.0,,,,,"methylmalonyl-CoA mutase, mitochondrial, partial [Nephila pilipes]"
,GFS84784.1,107360375,"I-set,Ig_3,Pkinase,fn3",32264.tetur01g01850.1,55.1,3.5500000000000004e-123,400.0,,,,,"twitchin, partial [Nephila pilipes]"
,GFS84822.1,,"Exo_endo_phos_2,RVT_1",7029.ACYPI43712-PA,31.6,2.21e-20,103.0,,,,,RNA-directed DNA polymerase from mobile element jockey [Nephila pilipes]
,GFS84854.1,,DDE_Tnp_1_7,7897.ENSLACP00000011019,46.5,1.6499999999999998e-23,101.0,,,,,chimeric ERCC6-PGBD3 protein [Nephila pilipes]
,GFS84865.1,107365376,p450,32264.tetur01g00650.1,44.9,2.51e-101,317.0,,,,,"cytochrome P450 4V2, partial [Nephila pilipes]"
,GFS84876.1,,"DUF1759,Peptidase_A17",7029.ACYPI061081-PA,34.0,5.600000000000001e-21,98.2,,,,,"integrase catalytic domain-containing protein, partial [Nephila pilipes]"
,GFS84881.1,107361613,polyprenyl_synt,32264.tetur07g01540.1,32.5,9.44e-18,87.0,,,,,"decaprenyl-diphosphate synthase subunit 1, partial [Nephila pilipes]"
,GFS84887.1,,rve,10224.XP_006814449.1,44.4,8.42e-09,63.5,,,,,integrase catalytic domain-containing protein [Nephila pilipes]
NPIL_409351,GFS84889.1,,"CENP-B_N,DDE_1,HTH_Tnp_Tc5,SCAN",89462.XP_006067346.1,30.5,5.43e-06,50.8,0.0,0.0,0.0,0.0,hypothetical protein NPIL_409351 [Nephila pilipes]
,GFS84913.1,105627270,"BACK,BTB,Kelch_1",12957.ACEP20953-PA,30.3,2.6200000000000002e-33,139.0,,,,,kelch repeat and BTB domain-containing protein 7 [Nephila pilipes]
,GFS84914.1,,"FG-GAP,Integrin_alpha2",6669.EFX79732,45.6,9.35e-283,824.0,,,,,integrin alpha-PS2 [Nephila pilipes]
,GFS84916.1,107372289,Destabilase,32264.tetur03g05900.1,50.8,1.56e-41,157.0,,,,,lysozyme [Nephila pilipes]
NPIL_340851,GFS84923.1,EFV49170,"DUF1758,Peptidase_A17",6334.EFV49170,50.5,3.98e-30,120.0,0.0,0.0,0.0,0.0,uncharacterized protein NPIL_340851 [Nephila pilipes]
NPIL_340861,GFS84925.1,,"DUF1758,DUF1759,Peptidase_A17",400682.PAC_15714876,34.7,1.19e-08,58.5,0.0,0.0,0.0,0.0,uncharacterized protein NPIL_340861 [Nephila pilipes]
,GFS84927.1,,"DUF1758,DUF1759,Peptidase_A17,RVT_1",400682.PAC_15703732,36.1,4.7e-24,105.0,,,,,integrase catalytic domain-containing protein [Nephila pilipes]
,GFS84931.1,,DDE_Tnp_1_7,7029.ACYPI008101-PA,37.0,1.71e-07,59.3,,,,,piggyBac transposable element-derived protein 4 [Nephila pilipes]
NPIL_466311,GFS84971.1,,RVT_1,6500.XP_005092790.1,35.9,1.07e-18,88.6,0.0,0.0,0.0,0.0,uncharacterized protein NPIL_466311 [Nephila pilipes]
NPIL_259851,GFS85012.1,,DUF1759,7425.NV30946-PA,49.3,4.53e-29,118.0,0.0,0.0,0.193395208111857,0.0,uncharacterized protein NPIL_259851 [Nephila pilipes]
,GFS85048.1,,"DUF3657,DUF676",126957.SMAR007942-PA,40.9,2.35e-299,888.0,,,,,protein FAM135A [Nephila pilipes]
,GFS85050.1,,"DUF3657,DUF676",126957.SMAR007942-PA,40.6,5.04e-295,877.0,,,,,protein FAM135A [Nephila pilipes]
,GFS85051.1,,Transposase_1,6087.XP_004206745.1,44.4,8.729999999999999e-23,97.8,,,,,camar1 transposase [Nephila pilipes]
,GFS85080.1,,"Peptidase_A17,rve",7425.NV18673-PA,50.0,7.299999999999999e-23,110.0,,,,,"DUF1758 domain-containing protein, partial [Nephila pilipes]"
,GFS85096.1,,"DUF4147,MOFRL",126957.SMAR001580-PA,43.8,1.7e-116,358.0,,,,,glycerate kinase [Nephila pilipes]
,GFS85098.1,,DDE_3,164328.Phyra78674,29.0,2.56e-09,63.5,,,,,transposable element Tcb1 transposase [Nephila pilipes]
,GFS85099.1,,WD40,126957.SMAR005099-PA,56.0,2.1200000000000002e-110,327.0,,,,,WD repeat-containing protein 82 [Nephila pilipes]
,GFS85101.1,,"bZIP_1,pKID",126957.SMAR010009-PA,66.2,7.969999999999999e-104,317.0,,,,,cyclic AMP-responsive element-binding protein 1 [Nephila pilipes]
,GFS85103.1,,WD40,126957.SMAR005099-PA,56.2,4.36e-112,331.0,,,,,WD repeat-containing protein 82 [Nephila pilipes]
NPIL_379062,GFS85104.1,,"Peptidase_A17,rve",7029.ACYPI083895-PA,46.5,5.25e-27,112.0,0.0,0.0,0.0,0.0,uncharacterized protein NPIL_379062 [Nephila pilipes]
NPIL_379061,GFS85107.1,103309893,"DUF1758,DUF1759,Peptidase_A17,rve",7029.ACYPI003517-PA,51.4,2.83e-26,111.0,0.0,0.0,0.0,0.0,uncharacterized protein NPIL_379061 [Nephila pilipes]
,GFS85109.1,,"MBT,SAM_1,SLED",126957.SMAR008494-PA,40.9,3.7e-213,634.0,,,,,scm-like with four MBT domains protein 2 [Nephila pilipes]
,GFS85112.1,,"RVT_1,rve",7029.ACYPI39815-PA,37.6,3.96e-58,210.0,,,,,transposon Tf2-9 polyprotein [Nephila pilipes]
,GFS85115.1,LOC664428,STIMATE,7070.TC008825-PA,58.2,6.04e-101,302.0,,,,,store-operated calcium entry regulator STIMATE [Nephila pilipes]
,GFS85116.1,,Rogdi_lz,126957.SMAR014116-PA,56.1,2.13e-96,290.0,,,,,protein rogdi [Nephila pilipes]
NPIL_554792,GFS85118.1,,ARGLU,126957.SMAR002490-PA,62.8,3.33e-11,70.1,2.84711342037623,0.598242889958106,0.0,2.25413088812571,hypothetical protein NPIL_554792 [Nephila pilipes]
NPIL_554791,GFS85121.1,,ARGLU,126957.SMAR002490-PA,64.9,9.32e-07,57.0,0.0,0.0,0.0,0.0,hypothetical protein NPIL_554791 [Nephila pilipes]
,GFS85124.1,,Ion_trans,126957.SMAR002485-PA,73.1,0.0,2426.0,,,,,sodium leak channel non-selective protein [Nephila pilipes]
NPIL_379121,GFS85125.1,ik,"RED_C,RED_N,WD40",8364.ENSXETP00000036010,50.7,2.72e-08,57.4,34.4026204962128,2.25899007926889,3.79820130598017,0.0,hypothetical protein NPIL_379121 [Nephila pilipes]
,GFS85128.1,,Ion_trans,126957.SMAR002485-PA,73.0,0.0,2421.0,,,,,sodium leak channel non-selective protein [Nephila pilipes]
,GFS85130.1,,"7tm_2,HRM",32264.tetur04g08940.1,55.8,6.2e-62,206.0,,,,,corticotropin-releasing factor receptor 2 [Nephila pilipes]
,GFS85133.1,,"Asp_protease_2,RVT_1",106582.XP_004574547.1,32.3,9.71e-16,81.3,,,,,retrovirus-related Pol polyprotein from transposon opus [Nephila pilipes]
,GFS85142.1,,DUF1758,400682.PAC_15706732,29.1,5.02e-06,56.2,,,,,DUF1758 domain-containing protein [Nephila pilipes]
,GFS85144.1,L798_12042,"RUN,zf-RING_9",136037.KDR12606,51.9,5.7e-156,490.0,,,,,run domain Beclin-1-interacting and cysteine-rich domain-containing protein [Nephila pilipes]
,GFS85146.1,,PDZ,126957.SMAR011964-PA,47.6,1.15e-40,167.0,,,,,PDZ domain-containing protein [Nephila pilipes]
NPIL_379201,GFS85147.1,,Helitron_like_N,7029.ACYPI46248-PA,52.3,7.799999999999999e-30,121.0,0.0,0.283481107986684,0.433306387848005,0.0,uncharacterized protein NPIL_379201 [Nephila pilipes]
,GFS85149.1,AChE-1,COesterase,7070.TC014402-PA,65.1,4.25e-250,706.0,,,,,acetylcholinesterase [Nephila pilipes]
,GFS85150.1,,"RVT_1,rve",10224.XP_006822441.1,30.1,2.21e-09,62.0,,,,,retrovirus-related Pol polyprotein from transposon 412 [Nephila pilipes]
,GFS85156.1,,RRM_1,126957.SMAR011648-PA,55.1,2.21e-100,323.0,,,,,protein alan shepard [Nephila pilipes]
,GFS85160.1,,RRM_1,126957.SMAR011648-PA,54.9,1.55e-103,327.0,,,,,protein alan shepard [Nephila pilipes]
,GFS85161.1,,"Exo_endo_phos_2,RVT_1",7897.ENSLACP00000002770,22.8,7.08e-34,148.0,,,,,craniofacial development protein 2 [Nephila pilipes]
,GFS85163.1,8236924,CBM_14,121225.PHUM600940-PA,44.2,3.22e-26,112.0,,,,,chitin-binding type-2 domain-containing protein [Nephila pilipes]
,GFS85164.1,,RRM_1,126957.SMAR011648-PA,55.3,9.619999999999999e-104,328.0,,,,,protein alan shepard [Nephila pilipes]
,GFS85166.1,,RRM_1,126957.SMAR011648-PA,55.1,3.52e-102,323.0,,,,,protein alan shepard [Nephila pilipes]
,GFS85167.1,,CBM_14,7425.NV16655-PA,43.0,2.37e-19,93.6,,,,,chitin-binding type-2 domain-containing protein [Nephila pilipes]
,GFS85170.1,,CBM_14,7460.GB51442-PA,50.5,2.1499999999999997e-23,105.0,,,,,chitin-binding type-2 domain-containing protein [Nephila pilipes]
,GFS85172.1,L798_09043,Pkinase,136037.KDR17042,89.4,5.44e-261,722.0,,,,,cyclin-dependent kinase 8 [Nephila pilipes]
,GFS85180.1,,DUF1759,10224.XP_006817799.1,36.4,0.000276,48.9,,,,,integrase catalytic domain-containing protein [Nephila pilipes]
NPIL_379281,GFS85182.1,,DUF1758,7029.ACYPI061095-PA,35.2,1.05e-09,63.5,0.0,0.0,0.204616905372669,0.0,uncharacterized protein NPIL_379281 [Nephila pilipes]
NPIL_379341,GFS85194.1,,SNF5,126957.SMAR007771-PA,75.9,1.06e-222,620.0,0.0975614902409438,0.21524868249113,0.0,0.540693099715844,hypothetical protein NPIL_379341 [Nephila pilipes]
NPIL_379342,GFS85196.1,,SNF5,126957.SMAR007771-PA,82.9,9.52e-231,639.0,0.0,0.0,0.0,0.0,hypothetical protein NPIL_379342 [Nephila pilipes]
NPIL_379351,GFS85198.1,ap5s1,AP-5_subunit_s1,8364.ENSXETP00000047912,33.9,7.89e-16,79.0,35.659859118998,9.83448704277061,0.770882294659822,31.6714126723089,uncharacterized protein NPIL_379351 [Nephila pilipes]
NPIL_379381,GFS85204.1,,CCAP,7029.ACYPI062598-PA,35.6,0.000971,45.1,0.0362299439459037,0.232710112025195,0.402997480788178,0.0269877779521285,uncharacterized protein NPIL_379381 [Nephila pilipes]
,GFS85206.1,,RVP,7091.BGIBMGA013162-TA,38.0,4.29e-06,53.5,,,,,homeotic protein female sterile [Nephila pilipes]
NPIL_379401,GFS85208.1,8238948,"RED_C,RED_N",121225.PHUM269260-PA,61.3,1.92e-14,77.0,0.0,0.0,0.450992362862209,0.0,hypothetical protein NPIL_379401 [Nephila pilipes]
,GFS85212.1,,DDE_Tnp_1_7,13249.RPRC011824-PA,33.3,4.83e-18,86.7,,,,,si:ch211-255f4.7 [Nephila pilipes]
NPIL_379431,GFS85214.1,,Snf7,126957.SMAR007195-PA,31.2,1.04e-19,93.2,0.278756098123174,0.227136611257459,0.598222547708944,0.269184893182198,hypothetical protein NPIL_379431 [Nephila pilipes]
NPIL_379441,GFS85216.1,6037715,Snf7,7176.CPIJ006154-PA,37.7,1.2800000000000001e-26,111.0,0.159036191057934,0.0,0.0446938498926369,0.734492087142085,hypothetical protein NPIL_379441 [Nephila pilipes]
NPIL_379451,GFS85218.1,,"Peptidase_A17,rve",7425.NV18673-PA,47.8,1.5e-19,89.4,0.0,0.0,0.0,0.0,uncharacterized protein NPIL_379451 [Nephila pilipes]
NPIL_98841,GFS85225.1,,"DUF1758,DUF1759,Peptidase_A17,rve",7029.ACYPI48436-PA,29.6,3.36e-06,53.1,0.0,0.0,0.967823026872186,0.0,uncharacterized protein NPIL_98841 [Nephila pilipes]
NPIL_379501,GFS85230.1,,"RVT_1,rve",400682.PAC_15725602,36.7,3.11e-05,50.4,0.0,0.305082833683208,0.816068830102954,0.0,hypothetical protein NPIL_379501 [Nephila pilipes]
,GFS85235.1,GL16806,Trypsin,7234.FBpp0180913,30.0,1.25e-25,110.0,,,,,tryptase beta-2 [Nephila pilipes]
,GFS85256.1,LOC727307,ABC_tran,7460.GB49197-PA,67.7,5.3999999999999997e-101,301.0,,,,,multidrug resistance-associated protein 1 [Nephila pilipes]
,GFS85264.1,,RVT_1,7070.TC001735-PA,30.1,3.06e-16,89.4,,,,,retrovirus-related Pol polyprotein from transposon 17.6 [Nephila pilipes]
,GFS85283.1,CYP6AS31,p450,7425.NV17463-PA,59.2,3.39e-18,84.3,,,,,"cytochrome P450 3A21, partial [Nephila pilipes]"
,GFS85295.1,,"Peptidase_A17,rve",7425.NV15429-PA,35.1,5.42e-18,88.6,,,,,"integrase_H2C2 domain-containing protein, partial [Nephila pilipes]"
,GFS85297.1,107360371,"DUF1899,WD40,WD40_4",32264.tetur05g03760.1,71.7,4.9700000000000005e-223,630.0,,,,,coronin-1C-A [Nephila pilipes]
,GFS85299.1,KGM_212693,ATP_bind_1,13037.EHJ71234,65.2,6.11e-127,369.0,,,,,GPN-loop GTPase 3 [Nephila pilipes]
,GFS85311.1,Eps8l1,"PTB,SH3_1",1026970.XP_008844901.1,33.7,2.36e-05,51.6,,,,,"SAM_3 domain-containing protein, partial [Nephila pilipes]"
,GFS85313.1,fut2,Glyco_transf_11,28377.ENSACAP00000016496,35.9,3.58e-56,193.0,,,,,"galactoside alpha-(1,2)-fucosyltransferase 1 [Nephila pilipes]"
,GFS85321.1,,CBM_14,32264.tetur21g02330.1,58.9,8.23e-34,137.0,,,,,chitin-binding type-2 domain-containing protein [Nephila pilipes]
,GFS85325.1,TUBE1,"Tubulin,Tubulin_C",8932.XP_005510324.1,52.4,1.82e-167,487.0,,,,,tubulin epsilon chain [Nephila pilipes]
,GFS85327.1,,CBM_14,32264.tetur21g02330.1,61.1,1.36e-36,143.0,,,,,chitin-binding type-2 domain-containing protein [Nephila pilipes]
,GFS85328.1,,SNF,6500.XP_005092405.1,55.1,3.1199999999999997e-246,704.0,,,,,sodium- and chloride-dependent glycine transporter 2 [Nephila pilipes]
,GFS85329.1,,CBM_14,32264.tetur21g02330.1,50.9,6.790000000000001e-32,129.0,,,,,chitin-binding type-2 domain-containing protein [Nephila pilipes]
NPIL_308191,GFS85334.1,,Glyco_hydro_47,126957.SMAR000614-PA,41.2,1.3300000000000001e-43,154.0,22.834927141591,0.378800083161246,0.289501647776178,6.02632760483875,uncharacterized protein NPIL_308191 [Nephila pilipes]
,GFS85336.1,,Glyco_hydro_47,126957.SMAR010849-PA,70.8,7.52e-174,493.0,,,,,"mannosyl-oligosaccharide alpha-1,2-mannosidase IA [Nephila pilipes]"
,GFS85338.1,,APG5,6500.XP_005089666.1,56.3,6.05e-116,341.0,,,,,autophagy protein 5 [Nephila pilipes]
,GFS85348.1,RPF2,Brix,13616.ENSMODP00000022344,55.4,5.56e-107,320.0,,,,,ribosome production factor 2 homolog [Nephila pilipes]
,GFS85350.1,L798_09966,"ABC_membrane_2,ABC_tran",136037.KDR16020,56.2,6.84e-297,840.0,,,,,ATP-binding cassette sub-family D member 1 [Nephila pilipes]
,GFS85376.1,T01_13806,"DUF1758,DUF1759,Peptidase_A17,RVT_1",6334.EFV50150,33.8,1.28e-31,130.0,,,,,reverse transcriptase domain-containing protein [Nephila pilipes]
,GFS85377.1,,p450,13249.RPRC000788-PA,58.9,2.06e-16,79.7,,,,,cytochrome P450 3A8 [Nephila pilipes]
"NPIL_319981,",GFS85428.1,,p450,126957.SMAR008771-PA,43.6,3.06e-06,49.7,,,,,"hypothetical protein NPIL_319981, partial [Nephila pilipes]"
,GFS85447.1,,"Peptidase_A17,rve",7425.NV15429-PA,37.2,2.72e-28,131.0,,,,,transposable element Tc1 transposase [Nephila pilipes]
,GFS85530.1,,SAM_1,126957.SMAR011565-PA,53.4,1.0899999999999999e-74,270.0,,,,,SAM domain-containing protein [Nephila pilipes]
,GFS85537.1,GTPBP1,GTP_EFTU,13616.ENSMODP00000036765,73.4,1.04e-291,816.0,,,,,GTP-binding protein 1 [Nephila pilipes]
,GFS85541.1,,RINT1_TIP1,10224.XP_006814775.1,37.6,1.12e-167,509.0,,,,,RAD50-interacting protein 1 [Nephila pilipes]
,GFS85549.1,HADHB,"Thiolase_C,Thiolase_N",60711.ENSCSAP00000005009,68.2,1.73e-219,619.0,,,,,"trifunctional enzyme subunit beta, mitochondrial [Nephila pilipes]"
,GFS85552.1,,MAD,6500.XP_005092970.1,26.8,2.5e-50,196.0,,,,,mitotic spindle assembly checkpoint protein MAD1 [Nephila pilipes]
,GFS85591.1,,Acyl_transf_3,7739.XP_002600112.1,56.0,4.02e-08,56.6,,,,,"nose resistant to fluoxetine protein 6, partial [Nephila pilipes]"
,GFS85611.1,,rve,10224.XP_006814449.1,40.2,7.78e-09,59.7,,,,,"integrase catalytic domain-containing protein, partial [Nephila pilipes]"
,GFS85630.1,,"CENP-B_N,HTH_Tnp_Tc5",7029.ACYPI31156-PA,48.8,3.97e-26,110.0,,,,,tigger transposable element-derived protein 4 [Nephila pilipes]
,GFS85637.1,,RVT_1,7425.NV30465-PA,35.3,4.07e-137,439.0,,,,,retrovirus-related Pol polyprotein from type-1 retrotransposable element R2 [Nephila pilipes]
,GFS85638.1,ANO3,Anoctamin,9361.ENSDNOP00000024896,53.3,5.53e-14,70.9,,,,,anoctamin [Nephila pilipes]
,GFS85641.1,,RVT_1,7029.ACYPI073307-PA,40.5,3.9999999999999995e-42,150.0,,,,,"RNA-directed DNA polymerase from mobile element jockey, partial [Nephila pilipes]"
,GFS85656.1,ASCC2,CUE,60711.ENSCSAP00000005850,32.3,1.84e-93,314.0,,,,,activating signal cointegrator 1 complex subunit 2 [Nephila pilipes]
,GFS85660.1,,"Peptidase_A17,rve",7425.NV15429-PA,33.8,2.38e-23,103.0,,,,,DUF1758 domain-containing protein [Nephila pilipes]
,GFS85662.1,L798_06138,"Glycos_transf_2,Ricin_B_lectin",136037.KDR19622,61.0,1.1000000000000001e-235,672.0,,,,,polypeptide N-acetylgalactosaminyltransferase 5 [Nephila pilipes]
,GFS85664.1,v1g112713,ASC,45351.EDO38792,30.1,3.71e-15,81.3,,,,,acid-sensing ion channel 3 [Nephila pilipes]
,GFS85666.1,,ASC,7668.SPU_018446-tr,28.6,4.28e-42,163.0,,,,,acid-sensing ion channel 2 [Nephila pilipes]
,GFS85668.1,,ASC,7668.SPU_018446-tr,31.4,1.01e-36,145.0,,,,,amiloride-sensitive sodium channel subunit delta [Nephila pilipes]
