Gene ID,protein_id,Preferred_Name,KEGG_KO,KEGG_Pathway,KEGG_Module,KEGG_EC,KEGG_BRITE,sseqid,pident,evalue,bitscore,NPFM1,NPFM2,NPFM3,NPFM4,Protein Description,GO_Terms,eggNOG_OGs
,GFS66150.1,,,,,,,69319.XP_008557997.1,65.6,1.46e-281,787.0,,,,,putative polypeptide N-acetylgalactosaminyltransferase 9 [Nephila pilipes],,"38FFX@33154,3BAUJ@33208,3D2QA@33213,3SIBD@50557,41TFX@6656,46HRG@7399,KOG3736@1,KOG3736@2759"
,GFS66153.1,,,,,,,13249.RPRC009218-PA,65.3,3.6599999999999996e-190,541.0,,,,,phosphatidylinositol 5-phosphate 4-kinase type-2 alpha [Nephila pilipes],,"38FR1@33154,3BETP@33208,3CTD7@33213,3E846@33342,3SFQT@50557,41WY5@6656,COG5253@1,KOG0229@2759"
,GFS66157.1,,,,,,,126957.SMAR011666-PA,37.1,4.26e-65,233.0,,,,,inositol polyphosphate 1-phosphatase [Nephila pilipes],,"3AFUU@33154,3BAEJ@33208,3CTJD@33213,41WFD@6656,COG1012@1,COG1218@1,COG1804@1,COG4690@1,KOG0600@1,KOG0600@2759,KOG1923@1,KOG1923@2759,KOG2450@2759,KOG2826@2759,KOG3099@2759,KOG3957@2759"
,GFS66168.1,,ko:K08819,,,"2.7.11.22,2.7.11.23","ko01000,ko01001,ko00000",6669.EFX69365,55.2,1.95e-187,571.0,,,,,cyclin-dependent kinase 13 [Nephila pilipes],,"38D3J@33154,3BF7D@33208,3CREQ@33213,41THP@6656,KOG0600@1,KOG0600@2759"
NPIL_188981,GFS66171.1,,,,,,,34740.HMEL011533-PA,20.5,1.38e-05,55.8,0.503207515790534,0.499599171114758,0.339398689457737,0.743683683226912,hypothetical protein NPIL_188981 [Nephila pilipes],,"390CN@33154,3C6B0@33208,3DMCR@33213,3SWR5@50557,426Q6@6656,4491K@7088,KOG1721@1,KOG1721@2759"
,GFS66174.1,,,,,,,7668.SPU_000635-tr,51.4,1.5e-15,80.1,,,,,retrovirus-related Pol polyprotein from transposon 297 [Nephila pilipes],,"38F42@33154,3BI8I@33208,3D5CW@33213,COG2801@1,KOG0017@2759"
,GFS66176.1,,,,,,,7029.ACYPI46801-PA,49.1,1.8600000000000002e-26,111.0,,,,,retrovirus-related Pol polyprotein from transposon 297 [Nephila pilipes],,"38F42@33154,3BI8I@33208,3D5CW@33213,3EE83@33342,3SQKC@50557,4224Q@6656,COG2801@1,KOG0017@2759,KOG4585@1,KOG4585@2759"
NPIL_189011,GFS66178.1,,,,,,,7668.SPU_017131-tr,42.4,2.55e-12,68.9,0.0,0.0,0.0,0.0,uncharacterized protein NPIL_189011 [Nephila pilipes],,"2RTGC@2759,3AR0D@33154,COG2801@1"
,GFS66180.1,,,,,,,7029.ACYPI32373-PA,60.0,1.13e-57,184.0,,,,,ATP-dependent DNA helicase [Nephila pilipes],,"3AUC2@33154,3C411@33208,3DK11@33213,3SS8Q@50557,423V5@6656,COG0507@1,KOG0987@2759"
,GFS66182.1,,,,,,,28377.ENSACAP00000008771,39.3,0.000298,52.8,,,,,zinc finger protein 26 [Nephila pilipes],,"38BZ9@33154,3BA9A@33208,3CT35@33213,4824W@7711,48YJY@7742,KOG1721@1,KOG1721@2759"
NPIL_189051,GFS66186.1,,,,,,,7425.NV23659-PA,41.8,3.21e-06,50.8,0.256656167829999,0.161787788083168,0.0618239452975549,0.0,hypothetical protein NPIL_189051 [Nephila pilipes],,"38DPC@33154,3BGB6@33208,3D5G4@33213,3SKEY@50557,41ZUZ@6656,COG2801@1,KOG0017@2759"
NPIL_189061,GFS66189.1,Kinesin-5,ko:K10398,,,,"ko03036,ko04812,ko00000",7091.BGIBMGA008726-TA,22.4,4.39e-11,76.3,0.0,0.0,0.0,0.0,uncharacterized protein NPIL_189061 [Nephila pilipes],"P|GO:0006928|IEA,P|GO:0007017|IEA,P|GO:0007018|IEA,P|GO:0007049|IEA,P|GO:0008150|IEA,P|GO:0008150|IEA,P|GO:0009987|IEA,P|GO:0009987|IEA,P|GO:0051301|IEA,C|GO:0005575|IEA,C|GO:0005622|IEA,C|GO:0005623|IEA,C|GO:0005737|IEA,C|GO:0005856|IEA,C|GO:0005874|IEA,C|GO:0015630|IEA,C|GO:0043226|IEA,C|GO:0043228|IEA,C|GO:0043229|IEA,C|GO:0043232|IEA,C|GO:0044422|IEA,C|GO:0044424|IEA,C|GO:0044430|IEA,C|GO:0044446|IEA,C|GO:0044464|IEA,C|GO:0099080|IEA,C|GO:0099081|IEA,C|GO:0099512|IEA,C|GO:0099513|IEA,F|GO:0000166|IEA,F|GO:0003674|IEA,F|GO:0003674|IEA,F|GO:0003774|IEA,F|GO:0003777|IEA,F|GO:0003824|IEA,F|GO:0005488|IEA,F|GO:0005488|IEA,F|GO:0005515|IEA,F|GO:0005524|IEA,F|GO:0008017|IEA,F|GO:0008092|IEA,F|GO:0008144|IEA,F|GO:0015631|IEA,F|GO:0016462|IEA,F|GO:0016787|IEA,F|GO:0016817|IEA,F|GO:0016818|IEA,F|GO:0017076|IEA,F|GO:0017111|IEA,F|GO:0030554|IEA,F|GO:0032553|IEA,F|GO:0032555|IEA,F|GO:0032559|IEA,F|GO:0035639|IEA,F|GO:0036094|IEA,F|GO:0043167|IEA,F|GO:0043168|IEA,F|GO:0097159|IEA,F|GO:0097367|IEA,F|GO:1901265|IEA,F|GO:1901363|IEA","39J7K@33154,3BFQS@33208,3CRYP@33213,3SHSM@50557,41TRP@6656,443JQ@7088,COG5059@1,KOG0243@2759"
NPIL_189062,GFS66192.1,Kinesin-5,ko:K10398,,,,"ko03036,ko04812,ko00000",7091.BGIBMGA008726-TA,22.4,4.17e-11,76.3,0.0,0.0,0.0,0.0,uncharacterized protein NPIL_189062 [Nephila pilipes],"P|GO:0006928|IEA,P|GO:0007017|IEA,P|GO:0007018|IEA,P|GO:0007049|IEA,P|GO:0008150|IEA,P|GO:0008150|IEA,P|GO:0009987|IEA,P|GO:0009987|IEA,P|GO:0051301|IEA,C|GO:0005575|IEA,C|GO:0005622|IEA,C|GO:0005623|IEA,C|GO:0005737|IEA,C|GO:0005856|IEA,C|GO:0005874|IEA,C|GO:0015630|IEA,C|GO:0043226|IEA,C|GO:0043228|IEA,C|GO:0043229|IEA,C|GO:0043232|IEA,C|GO:0044422|IEA,C|GO:0044424|IEA,C|GO:0044430|IEA,C|GO:0044446|IEA,C|GO:0044464|IEA,C|GO:0099080|IEA,C|GO:0099081|IEA,C|GO:0099512|IEA,C|GO:0099513|IEA,F|GO:0000166|IEA,F|GO:0003674|IEA,F|GO:0003674|IEA,F|GO:0003774|IEA,F|GO:0003777|IEA,F|GO:0003824|IEA,F|GO:0005488|IEA,F|GO:0005488|IEA,F|GO:0005515|IEA,F|GO:0005524|IEA,F|GO:0008017|IEA,F|GO:0008092|IEA,F|GO:0008144|IEA,F|GO:0015631|IEA,F|GO:0016462|IEA,F|GO:0016787|IEA,F|GO:0016817|IEA,F|GO:0016818|IEA,F|GO:0017076|IEA,F|GO:0017111|IEA,F|GO:0030554|IEA,F|GO:0032553|IEA,F|GO:0032555|IEA,F|GO:0032559|IEA,F|GO:0035639|IEA,F|GO:0036094|IEA,F|GO:0043167|IEA,F|GO:0043168|IEA,F|GO:0097159|IEA,F|GO:0097367|IEA,F|GO:1901265|IEA,F|GO:1901363|IEA","39J7K@33154,3BFQS@33208,3CRYP@33213,3SHSM@50557,41TRP@6656,443JQ@7088,COG5059@1,KOG0243@2759"
,GFS66194.1,,,,,,,69319.XP_008549021.1,86.5,7.12e-81,267.0,,,,,helitron_like_N domain-containing protein [Nephila pilipes],,"38G2J@33154,3BIV7@33208,3D0M2@33213,3SKNH@50557,420YJ@6656,46JRA@7399,COG0507@1,KOG0987@2759"
,GFS66195.1,,,,,,,7091.BGIBMGA012372-TA,75.0,7.93e-40,147.0,,,,,ATP-dependent DNA helicase [Nephila pilipes],,"38G2J@33154,3BIV7@33208,3D0M2@33213,3SKNH@50557,420YJ@6656,448TM@7088,COG0507@1,KOG0987@2759"
,GFS66198.1,107361407,ko:K08288,"ko04141,map04141",,,"ko00001,ko00000,ko04091",32264.tetur06g01900.1,38.2,4.74e-86,282.0,,,,,glucosidase 2 subunit beta [Nephila pilipes],,"38EUH@33154,3BAI0@33208,3CWAX@33213,41WT1@6656,KOG2397@1,KOG2397@2759"
,GFS66199.1,TWIST2,ko:K09069,"ko05205,map05205",,,"ko03000,ko00001,ko00000",7897.ENSLACP00000013741,82.9,1.03e-28,112.0,,,,,twist-related protein 1 [Nephila pilipes],,"38I0S@33154,3BHPN@33208,3D0PD@33213,481UZ@7711,48WCA@7742,KOG4447@1,KOG4447@2759"
,GFS66203.1,8236226,,,,,,121225.PHUM498340-PA,66.5,5.77e-69,218.0,,,,,helix-loop-helix protein 13 [Nephila pilipes],,"3A2C6@33154,3BQAF@33208,3D7I1@33213,3EAMI@33342,3SMGE@50557,41ZC4@6656,KOG4029@1,KOG4029@2759"
,GFS66205.1,Adcy1,ko:K08045,"ko04062,map04921,map04923,map04925,map04924,map04927,map04926,ko04540,ko04713,ko04714,ko04971,ko04970,ko04972,ko04976,map05034,ko04072,map05030,ko04371,ko04270,map04015,map04540,ko05034,map04728,map04727,map04726,map04725,map04724,map04723,map05031,map05032,ko04918,ko05032,ko05031,ko05030,ko04913,ko04912,ko04911,map04261,ko04916,ko04915,ko04914,ko04114,map04062,map04972,map04970,map04971,map04976,map04713,map04714,ko04211,ko04213,ko05200,map05166,map04270,ko04022,map04371,map04072,map05414,ko04261,ko04024,ko04750,map05012,ko04611,ko05012,map04918,map01522,map04911,map04912,map04913,map04914,map04915,map04916,map04114,map00230,map04750,ko00230,map04213,map04211,ko05414,ko01522,ko04934,ko05166,ko04728,map05200,map04024,ko04015,map04022,ko04726,ko04923,ko04921,ko04926,ko04927,ko04924,ko04925,ko04724,ko04725,map04934,ko04727,map04611,ko04723",M00695,4.6.1.1,"ko01000,ko00001,ko00000,ko00002",6669.EFX90212,57.3,0.0,1088.0,,,,,adenylate cyclase type 5 [Nephila pilipes],,"38CKV@33154,3B9YI@33208,3CRAW@33213,41WAE@6656,COG2114@1,KOG3619@2759"
"NPIL_444981,",GFS66254.1,L798_06574,ko:K11141,"ko04614,map04614",,3.4.11.7,"ko04147,ko01002,ko01000,ko00001,ko00000,ko04090",136037.KDR18594,49.7,3.2e-36,139.0,,,,,"hypothetical protein NPIL_444981, partial [Nephila pilipes]",,"38CFG@33154,3BD0T@33208,3CUKR@33213,3SK91@50557,41U5T@6656,COG0308@1,KOG1046@2759"
,GFS66291.1,,,,,,,34740.HMEL017684-PA,44.2,1.88e-115,358.0,,,,,DDE_Tnp_1_7 domain-containing protein [Nephila pilipes],,"28P4Z@1,2QVRU@2759,38G0P@33154,3BGQ6@33208,3E61I@33213,3SZQ0@50557,4226P@6656,448QM@7088"
,GFS66294.1,,,,,,,34740.HMEL017684-PA,42.1,3.99e-19,89.4,,,,,piggyBac transposable element-derived protein 2 [Nephila pilipes],,"28P4Z@1,2QVRU@2759,38G0P@33154,3BGQ6@33208,3E61I@33213,3SZQ0@50557,4226P@6656,448QM@7088"
,GFS66307.1,107369492,ko:K03006,"map01100,ko03020,map00230,ko05016,map03020,ko01100,map05168,map05169,map00240,ko00240,map05016,ko00230,ko05169,ko05168",M00180,2.7.7.6,"ko03021,br01611,ko00001,ko01000,ko03400,ko00000,ko00002",32264.tetur01g03940.1,57.5,5.9e-06,49.7,,,,,"cuticle protein 16.8, partial [Nephila pilipes]",,"2CW0W@1,2RTCQ@2759,38VIA@33154,3C5WR@33208,3DKYR@33213,42083@6656"
NPIL_364731,GFS66330.1,,,,,,,7070.TC009313-PA,49.0,2.4099999999999997e-23,100.0,0.0,0.0,0.0,0.0,uncharacterized protein NPIL_364731 [Nephila pilipes],,"28PAK@1,2QVXX@2759,39Z25@33154,3BNRK@33208,3D308@33213,3SQIM@50557,41VFD@6656"
,GFS66332.1,Crc,ko:K08057,"map05166,map05142,ko04145,ko04141,ko05166,map04141,ko05142,map04145,map04612,ko04612",,,"ko00001,ko00000,ko03110,ko04091",7460.GB40461-PA,74.5,2.7899999999999996e-138,408.0,,,,,calreticulin [Nephila pilipes],,"38DI3@33154,3BFR1@33208,3CX8Y@33213,3SHYI@50557,41WEE@6656,46KHV@7399,KOG0674@1,KOG0674@2759"
,GFS66335.1,Tlet_1830,ko:K13963,"ko05146,map05146",,,"ko00001,ko00000",416591.Tlet_1830,35.1,2.58e-62,213.0,,,,,serpin B10 [Nephila pilipes],,"2GDUM@200918,COG4826@1,COG4826@2"
,GFS66341.1,,,,,,,7739.XP_002609579.1,30.9,3.93e-44,177.0,,,,,acid-sensing ion channel 4-B [Nephila pilipes],,"3A1FU@33154,3BPUF@33208,3D6DY@33213,KOG4294@1,KOG4294@2759"
,GFS66348.1,,ko:K19613,"map04014,ko04014",,,"ko00001,ko00000",6669.EFX83378,88.9,3.44e-38,158.0,,,,,leucine-rich repeat protein soc-2 [Nephila pilipes],,"38C70@33154,3BCK5@33208,3CTCV@33213,41VTX@6656,COG4886@1,KOG0619@2759"
,GFS66358.1,,,,,,,29078.XP_008158810.1,39.4,2.8299999999999998e-67,223.0,,,,,serpin B8 [Nephila pilipes],,"39YXT@33154,3BN1U@33208,3CZYU@33213,3J8G9@40674,487CU@7711,498W1@7742,4KSCP@9397,COG4826@1,KOG2392@2759"
,GFS66361.1,,,,,,,126957.SMAR002755-PA,85.4,1.11e-34,134.0,,,,,hepatocyte nuclear factor 6 [Nephila pilipes],,"38G1G@33154,3BH2A@33208,3CT2N@33213,41WYG@6656,KOG2252@1,KOG2252@2759"
,GFS66367.1,,,,,,,126957.SMAR002755-PA,48.5,5.07e-82,269.0,,,,,homeobox protein onecut [Nephila pilipes],,"38G1G@33154,3BH2A@33208,3CT2N@33213,41WYG@6656,KOG2252@1,KOG2252@2759"
,GFS66397.1,,ko:K14210,"ko04974,map04974",,,"ko04147,ko02000,ko00001,ko00000",32264.tetur02g04570.1,34.3,2.56e-75,265.0,,,,,neutral and basic amino acid transport protein rBAT [Nephila pilipes],,"38CN9@33154,3BMMW@33208,3D2E4@33213,41XUW@6656,COG0366@1,KOG0471@2759"
,GFS66427.1,TTC21B,,,,,,9739.XP_004325609.1,44.4,4.17e-28,114.0,,,,,"tetratricopeptide repeat protein 21B, partial [Nephila pilipes]",,"28HZH@1,2QQAB@2759,38CQU@33154,3B9YR@33208,3CT4V@33213,3JFCE@40674,481WB@7711,4938J@7742,4J3A1@91561"
,GFS66438.1,,,,,,,144197.XP_008294028.1,45.7,1.77e-30,122.0,,,,,"histone-lysine N-methyltransferase SETMAR, partial [Nephila pilipes]",,"2CXPK@1,2RYWI@2759,3A0FF@33154,3BPTP@33208,3D6SN@33213,48FM6@7711,49CCX@7742"
"NPIL_687671,",GFS66502.1,grik4,ko:K05204,"ko04724,ko04080,map04080,map04724",,,"ko00001,ko04040,ko00000",31033.ENSTRUP00000038309,24.3,3.14e-15,86.3,,,,,"uncharacterized protein NPIL_687671, partial [Nephila pilipes]",,"38H6K@33154,3BHAW@33208,3CUWS@33213,48B7Z@7711,491RS@7742,49XSD@7898,KOG1052@1,KOG1052@2759"
NPIL_396001,GFS66537.1,,,,,,,7091.BGIBMGA012372-TA,75.3,3.97e-27,110.0,0.0,0.0,0.385441147329911,0.0,uncharacterized protein NPIL_396001 [Nephila pilipes],,"38G2J@33154,3BIV7@33208,3D0M2@33213,3SKNH@50557,420YJ@6656,448TM@7088,COG0507@1,KOG0987@2759"
NPIL_396011,GFS66540.1,,,,,,,7091.BGIBMGA012372-TA,87.4,2.37e-82,266.0,0.0,0.0,0.828698466759309,0.0,uncharacterized protein NPIL_396011 [Nephila pilipes],,"38G2J@33154,3BIV7@33208,3D0M2@33213,3SKNH@50557,420YJ@6656,448TM@7088,COG0507@1,KOG0987@2759"
NPIL_396021,GFS66542.1,v1g242950,,,,,,45351.EDO41197,31.3,6.4500000000000004e-27,114.0,0.0,0.0,0.157099235404608,0.0,uncharacterized protein NPIL_396021 [Nephila pilipes],,"2D2QX@1,2SNNT@2759,3AM5C@33154,3C03R@33208"
,GFS66544.1,20206280,,,,,,6412.HelroP177499,35.6,1.74e-33,135.0,,,,,CCHC-type domain-containing protein [Nephila pilipes],,"2CZ63@1,2S8NK@2759,3ABE0@33154,3BVS0@33208,3DCJK@33213"
NPIL_396041,GFS66548.1,20202211,,,,,,6412.HelroP168100,42.0,0.000921,45.1,0.689776852054392,4.56553784441713,4.0707994858352,1.27426502447652,hypothetical protein NPIL_396041 [Nephila pilipes],,"2CZ63@1,2S8NK@2759,3ABE0@33154,3BVS0@33208,3DCJK@33213"
,GFS66551.1,,,,,,,7029.ACYPI39168-PA,29.6,8.22e-12,71.2,,,,,CCHC-type domain-containing protein [Nephila pilipes],,"3A74Q@33154,COG2801@1,KOG0017@2759"
,GFS66553.1,,,,,,,7070.TC005292-PA,42.8,3.4999999999999995e-136,448.0,,,,,c2H2-type domain-containing protein [Nephila pilipes],,"2ECJA@1,2SIDR@2759,3AHH2@33154,3BZN9@33208,3DDCY@33213,3SQJ4@50557,4227I@6656"
NPIL_53281,GFS66560.1,,,,,,,8081.XP_008418940.1,47.0,5.44e-38,147.0,0.0,0.0,0.0,0.0,uncharacterized protein NPIL_53281 [Nephila pilipes],,"39UW9@33154,3BBQJ@33208,3D556@33213,48DY9@7711,49FWI@7742,COG2801@1,KOG0017@2759"
NPIL_231271,GFS66572.1,,ko:K14726,,,,"ko02000,ko00000",7739.XP_002597565.1,23.0,1.2400000000000001e-43,178.0,0.0,0.0,0.0,0.0,hypothetical protein NPIL_231271 [Nephila pilipes],,"38I34@33154,3BEZ7@33208,3CY6B@33213,4833G@7711,COG0025@1,KOG1965@2759,KOG2301@1,KOG2301@2759"
NPIL_231272,GFS66574.1,,ko:K14726,,,,"ko02000,ko00000",7739.XP_002597565.1,21.3,5.05e-33,145.0,0.0,0.0,0.0,0.0,hypothetical protein NPIL_231272 [Nephila pilipes],,"38I34@33154,3BEZ7@33208,3CY6B@33213,4833G@7711,COG0025@1,KOG1965@2759,KOG2301@1,KOG2301@2759"
NPIL_231274,GFS66576.1,,ko:K14726,,,,"ko02000,ko00000",7739.XP_002597565.1,31.1,7.200000000000001e-116,390.0,0.0,0.0,0.0731742575504909,0.0,hypothetical protein NPIL_231274 [Nephila pilipes],,"38I34@33154,3BEZ7@33208,3CY6B@33213,4833G@7711,COG0025@1,KOG1965@2759,KOG2301@1,KOG2301@2759"
NPIL_231273,GFS66578.1,,ko:K14726,,,,"ko02000,ko00000",10224.XP_006811759.1,40.9,1.32e-78,272.0,0.0,0.0,0.0,0.0,hypothetical protein NPIL_231273 [Nephila pilipes],,"38I34@33154,3BEZ7@33208,3CY6B@33213,COG0025@1,KOG1965@2759,KOG2301@1,KOG2301@2759"
NPIL_231291,GFS66582.1,,,,,,,132113.XP_003487875.1,33.2,1.47e-33,142.0,0.0,0.0,0.0,0.0,uncharacterized protein NPIL_231291 [Nephila pilipes],,"38DQB@33154,3BH74@33208,3CUX0@33213,3SFK9@50557,41U38@6656,46EI9@7399,KOG1721@1,KOG1721@2759"
NPIL_231293,GFS66583.1,,,,,,,132113.XP_003487875.1,33.2,1.11e-33,142.0,0.0,0.0,0.0,0.0,uncharacterized protein NPIL_231293 [Nephila pilipes],,"38DQB@33154,3BH74@33208,3CUX0@33213,3SFK9@50557,41U38@6656,46EI9@7399,KOG1721@1,KOG1721@2759"
NPIL_231292,GFS66584.1,,,,,,,69319.XP_008558281.1,47.0,2.45e-12,71.6,0.231278120982943,0.255132997188016,0.0,0.427253567030363,uncharacterized protein NPIL_231292 [Nephila pilipes],,"38DQB@33154,3BH74@33208,3CUX0@33213,3SFK9@50557,41U38@6656,46EI9@7399,KOG1721@1,KOG1721@2759"
NPIL_231301,GFS66585.1,,,,,,,132113.XP_003487875.1,33.6,9.69e-33,139.0,1.46563606652076,0.82192203557391,0.5992334007236,1.89257190332737,uncharacterized protein NPIL_231301 [Nephila pilipes],,"38DQB@33154,3BH74@33208,3CUX0@33213,3SFK9@50557,41U38@6656,46EI9@7399,KOG1721@1,KOG1721@2759"
,GFS66587.1,,,,,,,132113.XP_003487875.1,35.1,6.97e-33,132.0,,,,,NF-kappa-B-repressing factor [Nephila pilipes],,"38DQB@33154,3BH74@33208,3CUX0@33213,3SFK9@50557,41U38@6656,46EI9@7399,KOG1721@1,KOG1721@2759"
,GFS66589.1,,,,,,,6500.XP_005100649.1,39.9,2.8100000000000002e-33,132.0,,,,,"retinal-binding protein, partial [Nephila pilipes]",,"38H26@33154,3BB1Q@33208,3CUPE@33213,COG2801@1,KOG0017@2759,KOG1471@1,KOG1471@2759"
,GFS66599.1,,,,,,,10224.XP_002737200.2,42.2,5.96e-62,204.0,,,,,cyclin-J [Nephila pilipes],,"2CBPV@1,2QQ5T@2759,39NPQ@33154,3CQ86@33208,3E6DD@33213"
"NPIL_597671,",GFS66631.1,107369492,ko:K03006,"map01100,ko03020,map00230,ko05016,map03020,ko01100,map05168,map05169,map00240,ko00240,map05016,ko00230,ko05169,ko05168",M00180,2.7.7.6,"ko03021,br01611,ko00001,ko01000,ko03400,ko00000,ko00002",32264.tetur01g03940.1,55.6,1.97e-18,85.5,,,,,"uncharacterized protein NPIL_597671, partial [Nephila pilipes]",,"2CW0W@1,2RTCQ@2759,38VIA@33154,3C5WR@33208,3DKYR@33213,42083@6656"
NPIL_600881,GFS66659.1,,,,,,,7070.TC012971-PA,42.3,1.82e-53,181.0,0.0,0.0,0.0,0.0,uncharacterized protein NPIL_600881 [Nephila pilipes],,"2BP4M@1,2S1R2@2759"
,GFS66666.1,gar1,,,,,,6334.EFV56362,40.5,1.02e-13,79.7,,,,,DUF1758 domain-containing protein [Nephila pilipes],,"COG3277@1,KOG3262@2759"
,GFS66668.1,,,,,,,7029.ACYPI38196-PA,43.7,1.08e-25,113.0,,,,,nucleic-acid-binding protein from transposon X-element [Nephila pilipes],,"KOG4585@1,KOG4585@2759"
"NPIL_618171,",GFS66703.1,,,,,,,32264.tetur21g01660.1,48.3,2.67e-70,244.0,,,,,"hypothetical protein NPIL_618171, partial [Nephila pilipes]",,"38BUP@33154,3BIYB@33208,3D0JJ@33213,41U7I@6656,KOG1217@1,KOG1217@2759"
,GFS66724.1,,,,,,,8496.XP_006264985.1,31.2,1.09e-15,83.6,,,,,acid-sensing ion channel 3 [Nephila pilipes],,"38YI2@33154,3BNKI@33208,3D4BX@33213,4895J@7711,48W2R@7742,KOG4294@1,KOG4294@2759"
,GFS66735.1,,ko:K18809,"ko04624,map04624",M00686,,"ko00001,ko00000,ko00002",132113.XP_003492213.1,36.2,1.41e-06,55.8,,,,,"carboxypeptidase N subunit 2, partial [Nephila pilipes]",,"39Z7Y@33154,3BKD5@33208,3CWKH@33213,3SGRE@50557,41VSD@6656,46HYI@7399,COG4886@1,KOG4641@2759"
,GFS66739.1,,,,,,,7091.BGIBMGA012372-TA,86.7,5.35e-227,650.0,,,,,ATP-dependent DNA helicase [Nephila pilipes],,"38G2J@33154,3BIV7@33208,3D0M2@33213,3SKNH@50557,420YJ@6656,448TM@7088,COG0507@1,KOG0987@2759"
"NPIL_354441,",GFS66754.1,,ko:K08670,"map05206,ko05206",,3.4.21.109,"ko01002,ko01000,ko00001,ko00000",8090.ENSORLP00000002895,48.4,5.28e-13,71.2,,,,,"hypothetical protein NPIL_354441, partial [Nephila pilipes]",,"39S1N@33154,3B9XY@33208,3CWRU@33213,487D3@7711,490AG@7742,49TGN@7898,COG5640@1,KOG3627@2759"
NPIL_470701,GFS66759.1,PTSG_02184,ko:K10601,"map04120,ko04120,ko04141,map04141",M00403,2.3.2.27,"ko01000,ko04121,ko00001,ko00000,ko00002",946362.XP_004996670.1,47.3,8.78e-05,52.4,0.0,0.0,0.676488544293314,0.0,hypothetical protein NPIL_470701 [Nephila pilipes],,"38ITN@33154,COG5243@1,KOG0802@2759"
,GFS66789.1,,,,,,,7029.ACYPI44937-PA,36.1,1.01e-68,227.0,,,,,putative mariner transposase [Nephila pilipes],,"2D0FB@1,2SE02@2759,38VJ7@33154,3CNAZ@33208,3DRPU@33213,3SQBY@50557,4228A@6656"
,GFS66820.1,,,,,,,7668.SPU_000635-tr,46.7,7.46e-18,84.3,,,,,retrovirus-related Pol polyprotein from transposon opus [Nephila pilipes],,"38F42@33154,3BI8I@33208,3D5CW@33213,COG2801@1,KOG0017@2759"
"NPIL_427221,",GFS66884.1,101893069,ko:K19949,,,,"ko04131,ko00000",7370.XP_005179821.1,81.8,5.99e-07,53.9,,,,,"hypothetical protein NPIL_427221, partial [Nephila pilipes]",,"38D4M@33154,3BBII@33208,3CUEE@33213,3SIZU@50557,41VP2@6656,44ZW8@7147,KOG1326@1,KOG1326@2759"
,GFS66889.1,,,,,,,9823.ENSSSCP00000021889,38.8,1.3199999999999999e-113,354.0,,,,,"fatty acid synthase, partial [Nephila pilipes]",,"38D6P@33154,3BJ45@33208,3D2W0@33213,3J2HX@40674,47Z9P@7711,4962D@7742,4IZCF@91561,COG3321@1,KOG1202@2759"
NPIL_60841,GFS66891.1,,,,,,,126957.SMAR012819-PA,47.1,4.35e-15,77.0,0.0,0.0,0.0,0.0,hypothetical protein NPIL_60841 [Nephila pilipes],,"38BNB@33154,3BAT9@33208,3CS3V@33213,41XU8@6656,COG1196@1,KOG0964@2759"
,GFS66893.1,,,,,,,7425.NV25216-PA,32.2,2.22e-06,53.1,,,,,DUF1758 domain-containing protein [Nephila pilipes],,"39XVS@33154,3BM3S@33208,3DD47@33213,3SM8V@50557,421YB@6656,KOG1075@1,KOG1075@2759"
,GFS66896.1,,,,,,,126957.SMAR002573-PA,51.8,6.430000000000001e-72,234.0,,,,,fatty acid synthase [Nephila pilipes],,"38D6P@33154,3BJ45@33208,3D2W0@33213,41TZW@6656,COG3321@1,KOG1202@2759"
,GFS66914.1,,ko:K18469,,,,"ko04131,ko00000",10224.XP_006823900.1,54.8,9.07e-62,223.0,,,,,TBC1 domain family member 5 [Nephila pilipes],,"38CVA@33154,3BD5K@33208,3CSTR@33213,COG5210@1,KOG1091@2759"
,GFS66916.1,,,,,,,126957.SMAR012275-PA,70.7,7.43e-09,62.8,,,,,retrovirus-related Pol polyprotein from transposon 297 [Nephila pilipes],,"38GR4@33154,3B9QU@33208,3CSGF@33213,41VYM@6656,KOG2498@1,KOG2498@2759"
,GFS66918.1,,,,,,,7070.TC001728-PA,27.1,3.77e-54,205.0,,,,,integrase catalytic domain-containing protein [Nephila pilipes],,"38F42@33154,3BI8I@33208,3D5CW@33213,3SQKC@50557,4224Q@6656,COG2801@1,KOG0017@2759"
,GFS66921.1,,,,,,,126957.SMAR012794-PA,48.0,5.22e-13,79.3,,,,,TBC1 domain family member 5 [Nephila pilipes],,"38CVA@33154,3BD5K@33208,3CSTR@33213,41W3G@6656,COG5210@1,KOG1091@2759"
NPIL_418021,GFS66923.1,,,,,,,32264.tetur06g02660.1,40.8,1.15e-45,164.0,0.0124339330749519,0.217503146961231,0.428301478513034,0.052502697231609,uncharacterized protein NPIL_418021 [Nephila pilipes],,"2EQE7@1,2STES@2759,3AQE1@33154,3C32J@33208,3DITD@33213,422WT@6656"
,GFS66956.1,6051441,ko:K14999,,,,"ko01000,ko00000,ko00199",7176.CPIJ017462-PA,46.5,1.04e-28,116.0,,,,,"cytochrome P450 3A8, partial [Nephila pilipes]",,"38BTY@33154,3BF8S@33208,3CV2F@33213,3SGMH@50557,41VYX@6656,44XUS@7147,45JUQ@7148,COG2124@1,KOG0158@2759"
